condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,1251.070975,1000,False,True,15.261279,-1.763017,0.087519,14.908676
no_push,1,0.0000,none,2275.134908,1000,False,True,66.432368,-6.029447,47.840655,65.226479
no_push,2,0.0000,none,1225.388304,1000,False,True,13.904064,0.105671,-0.503959,13.882930
no_push,3,0.0000,none,1870.878433,830,True,False,54.274250,-6.512949,34.876958,52.971660
no_push,4,0.0000,none,2275.364361,1000,False,True,66.434252,-6.055338,46.551649,65.223185
no_push,5,0.0000,none,2197.006679,1000,False,True,62.525436,-2.778527,44.966600,61.969730
no_push,6,0.0000,none,2250.823749,1000,False,True,65.205083,-2.487183,47.618058,64.707647
no_push,7,0.0000,none,2184.402833,1000,False,True,61.909501,-0.822586,45.814149,61.744984
no_push,8,0.0000,none,2205.899150,1000,False,True,62.971183,-7.537848,44.894054,61.463613
no_push,9,0.0000,none,2339.442142,1000,False,True,69.649461,-8.567834,49.854821,67.935894
+x_5,0,5.0000,+x,1257.531579,1000,False,True,15.520102,-3.396013,-0.135047,14.840899
+x_5,1,5.0000,+x,2272.192101,1000,False,True,66.275247,-2.125558,47.256094,65.850136
+x_5,2,5.0000,+x,1231.548852,1000,False,True,14.269729,0.102230,-0.246859,14.249283
+x_5,3,5.0000,+x,786.987613,350,True,False,22.789741,-2.911326,3.002870,22.207475
+x_5,4,5.0000,+x,2276.159632,1000,False,True,66.479159,-6.777786,46.195233,65.123602
+x_5,5,5.0000,+x,2207.655943,1000,False,True,63.049502,4.854834,45.164105,62.078535
+x_5,6,5.0000,+x,2164.288949,990,True,False,61.368751,-5.176586,43.347746,60.333434
+x_5,7,5.0000,+x,674.976030,339,True,False,17.736735,-4.508807,1.199540,16.834974
+x_5,8,5.0000,+x,2248.359278,1000,False,True,65.097107,-8.031338,46.600454,63.490840
+x_5,9,5.0000,+x,2274.321335,1000,False,True,66.402133,-3.876223,46.181655,65.626888
-x_5,0,5.0000,-x,1248.148769,1000,False,True,15.048016,-1.243624,0.300232,14.799291
-x_5,1,5.0000,-x,753.514198,350,True,False,21.105733,-1.809980,2.937481,20.743737
-x_5,2,5.0000,-x,1234.109911,1000,False,True,14.380920,-0.611822,0.175459,14.258555
-x_5,3,5.0000,-x,2046.576211,909,True,False,59.301878,-2.096251,40.337345,58.882628
-x_5,4,5.0000,-x,2305.755466,1000,False,True,67.947153,-3.895528,48.445718,67.168047
-x_5,5,5.0000,-x,2166.848483,1000,False,True,61.016570,-2.514011,43.936750,60.513767
-x_5,6,5.0000,-x,1627.588967,751,True,False,45.834676,-4.189351,28.687953,44.996806
-x_5,7,5.0000,-x,2160.730280,1000,False,True,60.720751,-7.484866,45.086061,59.223778
-x_5,8,5.0000,-x,2249.395549,1000,False,True,65.149815,-2.441847,47.472460,64.661446
-x_5,9,5.0000,-x,2256.202163,1000,False,True,65.505728,-2.899577,46.133813,64.925813
