condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,10,2007.541153,983.00,0.9000,0.8000,53.856688,4.266040,36.200051,53.003480
+x_5,10,1739.402131,867.90,0.7000,0.5000,45.898821,4.176070,27.856579,45.063607
-x_5,10,1804.887000,901.00,0.7000,0.7000,47.601124,2.918686,30.351327,47.017387
+y_5,10,1914.064745,953.00,0.9000,0.7000,50.608018,3.178746,32.963543,49.972268
-y_5,10,1896.093491,941.00,0.9000,0.8000,50.271834,4.472645,32.604080,49.377305
+x_10,10,1805.517924,935.00,0.9000,0.9000,46.035832,3.995598,27.548930,45.236712
-x_10,10,1262.964888,1000.00,1.0000,0.1000,15.812871,2.155573,-0.990316,15.381757
+y_10,10,1526.899731,820.80,0.7000,0.4000,37.503924,1.245341,19.895155,37.254856
-y_10,10,1662.897609,884.40,0.8000,0.6000,41.303490,4.750319,23.661339,40.353426
+x_25,10,741.265927,317.70,0.0000,0.0000,22.041717,2.524077,2.120453,21.536902
-x_25,10,691.717887,452.00,0.2000,0.0000,13.198325,2.106607,-0.613047,12.777004
+y_25,10,658.609481,322.50,0.0000,0.0000,17.679509,4.861159,0.089376,16.707277
-y_25,10,941.273187,451.10,0.2000,0.2000,25.730318,7.610558,11.542637,24.208207
+x_50,10,779.114088,311.10,0.0000,0.0000,24.248981,2.462270,15.332703,23.756527
-x_50,10,467.928270,314.10,0.0000,0.0000,8.538812,1.900169,3.783356,8.158778
+y_50,10,649.868287,316.80,0.0000,0.0000,17.513141,9.783447,2.003304,15.556452
-y_50,10,700.814934,376.80,0.1000,0.0000,17.221836,8.314536,15.779312,15.558928
