condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,2188.888288,1000,False,True,62.135951,2.604809,43.319310,61.614989
no_push,1,0.0000,none,2213.732302,1000,False,True,63.335918,-4.694665,44.611096,62.396985
no_push,2,0.0000,none,958.916068,458,True,False,26.288912,-2.916390,9.871249,25.705634
no_push,3,0.0000,none,2180.052116,1000,False,True,61.674745,-2.347283,45.293840,61.205289
no_push,4,0.0000,none,1325.547219,611,True,False,37.372108,-2.749116,19.700745,36.822284
no_push,5,0.0000,none,2115.588343,1000,False,True,58.457417,3.614693,44.000739,57.734478
no_push,6,0.0000,none,2139.468332,1000,False,True,59.665482,1.708026,43.014480,59.323876
no_push,7,0.0000,none,379.821114,189,True,False,10.060337,-1.189826,10.060337,9.822372
no_push,8,0.0000,none,2125.072904,1000,False,True,58.946265,-0.596256,41.962120,58.827014
no_push,9,0.0000,none,1763.122192,758,True,False,52.269477,-1.465570,32.039399,51.976363
-x_10,0,10.0000,-x,2180.982050,1000,False,True,61.747050,2.740791,43.836708,61.198892
-x_10,1,10.0000,-x,1277.060489,1000,False,True,16.562854,-4.467011,-1.300071,15.669452
-x_10,2,10.0000,-x,1224.771588,1000,False,True,13.910641,-4.529195,-1.597694,13.004802
-x_10,3,10.0000,-x,1222.264464,1000,False,True,13.799939,-0.272025,-1.683022,13.745534
-x_10,4,10.0000,-x,1252.513043,1000,False,True,15.364848,-4.473801,-1.320561,14.470087
-x_10,5,10.0000,-x,1167.357066,1000,False,True,11.075597,0.207646,-2.459082,11.034068
-x_10,6,10.0000,-x,1231.637414,1000,False,True,14.251651,-3.234368,-1.570262,13.604778
-x_10,7,10.0000,-x,379.821114,189,True,False,10.060337,-1.189826,10.060337,9.822372
-x_10,8,10.0000,-x,1236.842881,1000,False,True,14.507317,-1.675534,-1.676445,14.172211
-x_10,9,10.0000,-x,1293.590300,1000,False,True,17.356314,-0.689957,-1.883452,17.218323
