condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,2213.139830,1000,False,True,63.394292,-10.389910,45.502677,61.316310
no_push,1,0.0000,none,2166.638170,1000,False,True,61.050737,-1.297971,44.057793,60.791142
no_push,2,0.0000,none,2159.068998,1000,False,True,60.707483,-8.445978,44.358329,59.018287
no_push,3,0.0000,none,2164.282136,1000,False,True,60.915214,-2.709707,43.988874,60.373273
no_push,4,0.0000,none,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
+x_5,0,5.0000,+x,2192.660114,1000,False,True,62.351625,-5.870987,44.027490,61.177427
+x_5,1,5.0000,+x,2210.416301,1000,False,True,63.237130,-2.969157,45.849442,62.643299
+x_5,2,5.0000,+x,2228.894113,1000,False,True,64.152848,-2.752515,47.384298,63.602345
+x_5,3,5.0000,+x,2163.945351,1000,False,True,60.907955,-3.786514,43.429142,60.150652
+x_5,4,5.0000,+x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
-x_5,0,5.0000,-x,1289.155916,1000,False,True,17.125134,-3.973752,-0.277027,16.330384
-x_5,1,5.0000,-x,2197.292062,1000,False,True,62.554909,-4.649184,46.006218,61.625072
-x_5,2,5.0000,-x,2142.780789,1000,False,True,59.894462,-5.447056,43.971091,58.805051
-x_5,3,5.0000,-x,622.926272,308,True,False,16.575435,-2.477788,16.575435,16.079878
-x_5,4,5.0000,-x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
+y_5,0,5.0000,+y,2174.329052,1000,False,True,61.455342,-10.194700,43.571749,59.416402
+y_5,1,5.0000,+y,2107.108389,1000,False,True,58.066115,-2.639123,41.078322,57.538290
+y_5,2,5.0000,+y,2146.135776,1000,False,True,60.039367,-3.613555,43.774572,59.316656
+y_5,3,5.0000,+y,654.792402,319,True,False,17.646024,-1.464223,0.687425,17.353180
+y_5,4,5.0000,+y,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
-y_5,0,5.0000,-y,2166.079827,1000,False,True,61.056286,-6.015198,43.196635,59.853246
-y_5,1,5.0000,-y,2175.476784,1000,False,True,61.511635,-8.992761,44.502976,59.713083
-y_5,2,5.0000,-y,2124.206485,1000,False,True,58.959174,-4.938807,42.642627,57.971412
-y_5,3,5.0000,-y,629.044126,308,True,False,16.883806,-2.878210,16.883806,16.308164
-y_5,4,5.0000,-y,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
+x_10,0,10.0000,+x,2235.699635,1000,False,True,64.497921,-8.390402,45.748393,62.819840
+x_10,1,10.0000,+x,2217.270143,1000,False,True,63.564525,-4.259040,45.632490,62.712717
+x_10,2,10.0000,+x,2190.290337,1000,False,True,62.274305,-3.954233,45.045631,61.483458
+x_10,3,10.0000,+x,2206.688356,1000,False,True,63.041385,-2.335670,45.022738,62.574251
+x_10,4,10.0000,+x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
-x_10,0,10.0000,-x,1257.378594,1000,False,True,15.572470,-5.652177,-1.358803,14.442035
-x_10,1,10.0000,-x,1233.099928,1000,False,True,14.321491,-1.505755,-1.828335,14.020340
-x_10,2,10.0000,-x,1252.260512,1000,False,True,15.312788,-2.124667,-0.262865,14.887854
-x_10,3,10.0000,-x,616.000465,308,True,False,16.229985,-2.493844,16.229985,15.731216
-x_10,4,10.0000,-x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
+y_10,0,10.0000,+y,673.111248,319,True,False,18.585955,-2.490317,0.813714,18.087891
+y_10,1,10.0000,+y,654.241216,319,True,False,17.630503,0.376243,0.723054,17.555254
+y_10,2,10.0000,+y,2133.484538,1000,False,True,59.395002,0.871114,43.124473,59.220779
+y_10,3,10.0000,+y,1297.990496,1000,False,True,17.569369,-0.303589,0.543188,17.508652
+y_10,4,10.0000,+y,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
-y_10,0,10.0000,-y,651.920714,312,True,False,17.856461,-5.444816,0.086803,16.767498
-y_10,1,10.0000,-y,2137.490098,1000,False,True,59.566386,-3.705103,42.452314,58.825365
-y_10,2,10.0000,-y,2129.186566,1000,False,True,59.230455,-8.058918,42.826948,57.618672
-y_10,3,10.0000,-y,626.929462,307,True,False,16.825582,-3.080842,16.825582,16.209413
-y_10,4,10.0000,-y,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
+x_25,0,25.0000,+x,829.188050,324,True,False,26.148127,-3.919942,5.960807,25.364139
+x_25,1,25.0000,+x,675.243784,310,True,False,19.110969,-1.398480,19.110969,18.831273
+x_25,2,25.0000,+x,662.707140,310,True,False,18.508605,-2.719765,18.508605,17.964653
+x_25,3,25.0000,+x,707.340866,312,True,False,20.607266,-2.846910,0.927362,20.037884
+x_25,4,25.0000,+x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
-x_25,0,25.0000,-x,592.877457,312,True,False,14.900547,-4.180071,-0.720717,14.064533
-x_25,1,25.0000,-x,517.117370,325,True,False,10.491164,-0.448097,-4.247921,10.401545
-x_25,2,25.0000,-x,538.737620,316,True,False,12.024306,-2.118605,-2.081752,11.600585
-x_25,3,25.0000,-x,608.167738,307,True,False,15.886118,-2.582545,15.886118,15.369609
-x_25,4,25.0000,-x,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
+y_25,0,25.0000,+y,677.079026,324,True,False,18.548877,3.873341,0.776763,17.774209
+y_25,1,25.0000,+y,654.144522,327,True,False,17.254526,6.585307,0.397328,15.937465
+y_25,2,25.0000,+y,618.816256,311,True,False,16.259945,-0.261746,0.068235,16.207596
+y_25,3,25.0000,+y,663.597369,319,True,False,18.091104,3.685520,0.850057,17.354000
+y_25,4,25.0000,+y,429.873255,225,True,False,10.847279,-0.835620,10.847279,10.680155
