condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1826.600478,845.00,0.8000,0.8000,51.383001,4.735837,37.750991,50.435834
+x_5,5,1845.157827,845.00,0.8000,0.8000,52.299367,3.242959,38.307530,51.650776
-x_5,5,1336.405659,706.60,0.6000,0.4000,33.399444,3.476680,23.424599,32.704108
+y_5,5,1502.447775,708.80,0.6000,0.6000,41.610825,3.749444,27.991869,40.860937
-y_5,5,1504.936095,706.60,0.6000,0.6000,41.851636,4.732119,31.614665,40.905212
+x_10,5,1855.964345,845.00,0.8000,0.8000,52.845083,3.954993,38.459306,52.054084
-x_10,5,957.722551,706.60,0.6000,0.0000,14.456803,2.522413,4.725452,13.952320
+y_10,5,1037.740151,572.60,0.4000,0.4000,24.805621,0.975376,11.210342,24.610546
-y_10,5,1195.080019,568.80,0.4000,0.4000,32.865233,4.225060,22.607785,32.020221
+x_25,5,660.870619,296.20,0.0000,0.0000,19.044449,2.344143,11.071004,18.575621
-x_25,5,537.354688,297.00,0.0000,0.0000,12.829883,2.032988,3.936602,12.423285
+y_25,5,608.702086,301.20,0.0000,0.0000,16.200346,3.048307,2.587932,15.590685
-y_25,5,602.121499,297.40,0.0000,0.0000,16.053502,6.029253,9.370397,14.847651
+x_50,5,676.627858,292.80,0.0000,0.0000,19.996089,2.509627,19.996089,19.494164
-x_50,5,517.897024,292.40,0.0000,0.0000,12.070285,2.479429,9.729971,11.574399
+y_50,5,594.917782,296.20,0.0000,0.0000,15.744790,5.268409,5.697546,14.691109
-y_50,5,588.753081,292.20,0.0000,0.0000,15.630879,6.348375,12.250712,14.361204
