condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,1251.070975,1000,False,True,15.261279,-1.763017,0.087519,14.908676
no_push,1,0.0000,none,2275.134908,1000,False,True,66.432368,-6.029447,47.840655,65.226479
no_push,2,0.0000,none,1225.388304,1000,False,True,13.904064,0.105671,-0.503959,13.882930
no_push,3,0.0000,none,1870.878433,830,True,False,54.274250,-6.512949,34.876958,52.971660
no_push,4,0.0000,none,2275.364361,1000,False,True,66.434252,-6.055338,46.551649,65.223185
+x_5,0,5.0000,+x,1257.531579,1000,False,True,15.520102,-3.396013,-0.135047,14.840899
+x_5,1,5.0000,+x,2272.192101,1000,False,True,66.275247,-2.125558,47.256094,65.850136
+x_5,2,5.0000,+x,1231.548852,1000,False,True,14.269729,0.102230,-0.246859,14.249283
+x_5,3,5.0000,+x,786.987613,350,True,False,22.789741,-2.911326,3.002870,22.207475
+x_5,4,5.0000,+x,2276.159632,1000,False,True,66.479159,-6.777786,46.195233,65.123602
-x_5,0,5.0000,-x,1248.148769,1000,False,True,15.048016,-1.243624,0.300232,14.799291
-x_5,1,5.0000,-x,753.514198,350,True,False,21.105733,-1.809980,2.937481,20.743737
-x_5,2,5.0000,-x,1234.109911,1000,False,True,14.380920,-0.611822,0.175459,14.258555
-x_5,3,5.0000,-x,2046.576211,909,True,False,59.301878,-2.096251,40.337345,58.882628
-x_5,4,5.0000,-x,2305.755466,1000,False,True,67.947153,-3.895528,48.445718,67.168047
+y_5,0,5.0000,+y,1244.674066,1000,False,True,14.922692,-1.692763,-0.208746,14.584139
+y_5,1,5.0000,+y,1167.437215,530,True,False,33.288271,-1.062088,14.709189,33.075854
+y_5,2,5.0000,+y,1220.256197,1000,False,True,13.735443,0.062433,-0.628800,13.722956
+y_5,3,5.0000,+y,2260.381215,1000,False,True,65.682648,-4.322590,46.271879,64.818130
+y_5,4,5.0000,+y,2282.117423,1000,False,True,66.774874,-3.077095,46.891869,66.159455
-y_5,0,5.0000,-y,1245.662464,1000,False,True,14.947153,-2.111137,-0.241650,14.524926
-y_5,1,5.0000,-y,2247.104440,1000,False,True,65.025931,-5.586830,46.471744,63.908565
-y_5,2,5.0000,-y,1244.724075,1000,False,True,14.909496,-0.276081,0.426257,14.854279
-y_5,3,5.0000,-y,2245.174738,1000,False,True,64.925145,-4.636348,45.556169,63.997876
-y_5,4,5.0000,-y,907.029896,410,True,False,25.963082,-3.460102,6.029561,25.271062
+x_10,0,10.0000,+x,1277.446147,1000,False,True,16.541312,-3.627579,0.435696,15.815796
+x_10,1,10.0000,+x,1364.883724,1000,False,True,20.923763,-2.661656,1.451337,20.391432
+x_10,2,10.0000,+x,1256.492438,1000,False,True,15.495942,0.143318,0.700176,15.467278
+x_10,3,10.0000,+x,2032.045816,1000,False,True,54.300483,-7.426314,34.069986,52.815221
+x_10,4,10.0000,+x,2314.306042,1000,False,True,68.405650,-6.652375,47.593725,67.075175
