condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1779.567396,966.00,0.8000,0.6000,43.261243,4.093285,25.770565,42.442586
+x_5,5,1564.883955,870.00,0.8000,0.4000,37.066796,3.062583,19.214458,36.454279
-x_5,5,1517.620911,851.80,0.6000,0.6000,35.556740,1.931441,18.439247,35.170452
+y_5,5,1634.973223,906.00,0.8000,0.4000,38.880785,2.043394,21.407078,38.472107
-y_5,5,1577.939122,882.00,0.8000,0.6000,37.154161,3.214099,19.648416,36.511342
+x_10,5,1649.034833,1000.00,1.0000,1.0000,35.133430,4.102248,16.850184,34.312981
-x_10,5,1269.274897,1000.00,1.0000,0.2000,16.122367,1.910925,-0.563865,15.740182
+y_10,5,1525.909630,863.80,0.8000,0.4000,35.410798,0.695783,17.955124,35.271642
-y_10,5,1526.132446,862.80,0.8000,0.4000,35.484761,3.448294,17.993736,34.795103
+x_25,5,768.365340,323.40,0.0000,0.0000,23.128947,2.527712,3.362300,22.623405
-x_25,5,690.502569,451.40,0.2000,0.0000,13.157546,1.814782,-2.073291,12.794589
+y_25,5,651.449501,322.60,0.0000,0.0000,17.317999,5.053680,-0.084926,16.307263
-y_25,5,962.351703,453.80,0.2000,0.2000,26.652991,7.653045,9.254311,25.122382
+x_50,5,788.496286,311.60,0.0000,0.0000,24.694425,1.953873,11.486989,24.303651
-x_50,5,506.710664,311.60,0.0000,0.0000,10.595209,1.725252,8.796459,10.250158
+y_50,5,649.533704,315.20,0.0000,0.0000,17.571113,8.605099,3.996243,15.850093
-y_50,5,759.313916,446.40,0.2000,0.0000,16.850762,11.178798,13.965714,14.615002
