condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,2197.867445,1000,False,True,62.533438,4.613445,44.810287,61.610749
no_push,1,0.0000,none,2253.744483,1000,False,True,65.319007,-3.127429,46.171699,64.693521
no_push,2,0.0000,none,2202.677645,1000,False,True,62.801793,0.685053,46.310588,62.664783
no_push,3,0.0000,none,1121.038503,498,True,False,32.471759,-3.721385,13.780896,31.727482
no_push,4,0.0000,none,2266.832270,1000,False,True,65.983614,-2.125027,45.578812,65.558608
+x_5,0,5.0000,+x,2225.356972,1000,False,True,63.938955,0.865752,45.834242,63.765804
+x_5,1,5.0000,+x,2256.599769,1000,False,True,65.467200,0.074376,45.863930,65.452325
+x_5,2,5.0000,+x,2189.919922,1000,False,True,62.171333,-1.070150,45.268094,61.957303
+x_5,3,5.0000,+x,2239.010656,1000,False,True,64.620277,-3.933686,45.455610,63.833540
+x_5,4,5.0000,+x,2243.478564,1000,False,True,64.794305,4.463843,43.974756,63.901537
-x_5,0,5.0000,-x,2162.550356,1000,False,True,60.775488,2.043345,43.453122,60.366819
-x_5,1,5.0000,-x,1147.817742,531,True,False,32.237480,-2.460302,13.544988,31.745420
-x_5,2,5.0000,-x,2178.822516,1000,False,True,61.610461,-0.554543,45.495598,61.499553
-x_5,3,5.0000,-x,2208.240200,1000,False,True,63.063033,-0.529451,44.830970,62.957143
-x_5,4,5.0000,-x,2238.070916,1000,False,True,64.535105,2.765417,44.488258,63.982021
+y_5,0,5.0000,+y,2181.666559,1000,False,True,61.726104,5.718601,43.963382,60.582384
+y_5,1,5.0000,+y,2209.818216,1000,False,True,63.124267,-0.369708,44.045851,63.050325
+y_5,2,5.0000,+y,1889.850058,891,True,False,52.307003,3.371152,35.804810,51.632773
+y_5,3,5.0000,+y,2234.420752,1000,False,True,64.365110,-1.882646,45.589125,63.988581
+y_5,4,5.0000,+y,2004.931611,1000,False,True,52.893021,9.656867,32.488617,50.961648
-y_5,0,5.0000,-y,2212.678387,1000,False,True,63.263401,-0.053337,45.568117,63.252733
-y_5,1,5.0000,-y,2215.371920,1000,False,True,63.399050,0.092619,44.207029,63.380527
-y_5,2,5.0000,-y,2204.034567,1000,False,True,62.879896,-4.130019,46.371444,62.053892
-y_5,3,5.0000,-y,911.013704,430,True,False,25.204118,-4.325017,6.508116,24.339114
-y_5,4,5.0000,-y,2306.573214,1000,False,True,67.956318,-0.216761,47.525930,67.912965
+x_10,0,10.0000,+x,2207.845697,1000,False,True,63.041080,1.955130,44.512417,62.650054
+x_10,1,10.0000,+x,2289.868160,1000,False,True,67.128053,0.927378,47.063603,66.942577
+x_10,2,10.0000,+x,2161.206475,1000,False,True,60.739056,-1.528602,43.465723,60.433335
+x_10,3,10.0000,+x,2306.614859,1000,False,True,68.000094,-2.532129,48.314944,67.493668
+x_10,4,10.0000,+x,2245.140657,1000,False,True,64.912619,2.613960,43.711807,64.389827
-x_10,0,10.0000,-x,1260.556289,1000,False,True,15.779234,-1.543331,-1.065000,15.470568
-x_10,1,10.0000,-x,1272.392079,1000,False,True,16.309299,-3.348552,-1.972731,15.639588
-x_10,2,10.0000,-x,1236.556903,1000,False,True,14.510811,-2.107507,-1.138944,14.089310
-x_10,3,10.0000,-x,1272.090846,1000,False,True,16.314920,-1.860119,-1.530806,15.942896
-x_10,4,10.0000,-x,1325.776531,1000,False,True,18.911013,-1.458185,-0.623441,18.619376
+y_10,0,10.0000,+y,2155.611338,1000,False,True,60.410077,7.028335,42.654160,59.004410
+y_10,1,10.0000,+y,1359.974519,1000,False,True,20.633124,0.222183,1.400748,20.588688
+y_10,2,10.0000,+y,2169.399771,1000,False,True,61.133528,5.215710,44.533350,60.090386
+y_10,3,10.0000,+y,2260.290523,1000,False,True,65.666812,-0.865146,46.844522,65.493782
+y_10,4,10.0000,+y,2272.672397,1000,False,True,66.271812,5.373152,45.790805,65.197181
-y_10,0,10.0000,-y,2149.487880,1000,False,True,60.131289,0.839864,42.464458,59.963316
-y_10,1,10.0000,-y,2148.156660,1000,False,True,60.035051,0.098336,40.795347,60.015384
-y_10,2,10.0000,-y,2178.657367,1000,False,True,61.611325,-1.290859,45.079525,61.353153
-y_10,3,10.0000,-y,2226.368293,1000,False,True,63.973378,-2.646690,45.311095,63.444040
-y_10,4,10.0000,-y,803.958830,365,True,False,22.917787,-3.502817,2.533880,22.217224
+x_25,0,25.0000,+x,682.175104,309,True,False,19.488989,-1.084517,19.488989,19.272086
+x_25,1,25.0000,+x,722.064422,310,True,False,21.417701,-1.580452,21.417701,21.101611
+x_25,2,25.0000,+x,686.297635,312,True,False,19.559322,-1.642629,0.969696,19.230796
+x_25,3,25.0000,+x,719.951834,311,True,False,21.284360,-2.740466,0.357702,20.736267
+x_25,4,25.0000,+x,755.441662,311,True,False,23.039934,-0.924719,0.520037,22.854990
-x_25,0,25.0000,-x,527.718989,324,True,False,11.054207,-0.032563,-4.411391,11.047695
-x_25,1,25.0000,-x,1201.148863,1000,False,True,12.718015,-0.397694,-4.353195,12.638476
-x_25,2,25.0000,-x,497.716680,325,True,False,9.519515,-0.193147,-4.602940,9.480885
-x_25,3,25.0000,-x,1179.766671,1000,False,True,11.685041,-2.325756,-4.805854,11.219890
-x_25,4,25.0000,-x,600.998459,319,True,False,14.944573,-1.054717,-3.233122,14.733630
+y_25,0,25.0000,+y,660.484623,323,True,False,17.739274,7.155188,-0.047026,16.308236
+y_25,1,25.0000,+y,690.264746,320,True,False,19.356895,4.673222,0.270951,18.422250
+y_25,2,25.0000,+y,642.479165,322,True,False,16.894187,6.141684,0.407719,15.665850
+y_25,3,25.0000,+y,691.977491,325,True,False,19.221283,5.173904,0.613542,18.186502
+y_25,4,25.0000,+y,733.930448,325,True,False,21.303255,8.355923,0.724337,19.632070
-y_25,0,25.0000,-y,641.820241,310,True,False,17.424080,-3.220112,17.424080,16.780058
-y_25,1,25.0000,-y,691.104908,319,True,False,19.445641,-7.658663,0.347169,17.913909
-y_25,2,25.0000,-y,618.441245,308,True,False,16.358287,-2.872871,16.358287,15.783713
-y_25,3,25.0000,-y,663.143681,308,True,False,18.587487,-3.956124,18.587487,17.796262
-y_25,4,25.0000,-y,699.435559,310,True,False,20.288703,-3.212791,20.288703,19.646145
+x_50,0,50.0000,+x,712.031064,308,True,False,21.030771,-1.314211,21.030771,20.767929
+x_50,1,50.0000,+x,783.786888,310,True,False,24.504759,-1.716150,24.504759,24.161529
+x_50,2,50.0000,+x,680.089445,308,True,False,19.440941,-1.716087,19.440941,19.097723
+x_50,3,50.0000,+x,773.036732,310,True,False,23.986864,-2.775968,23.986864,23.431671
+x_50,4,50.0000,+x,787.753220,309,True,False,24.752834,-1.390125,24.752834,24.474809
-x_50,0,50.0000,-x,517.223882,311,True,False,11.133572,-0.846688,-1.095606,10.964234
-x_50,1,50.0000,-x,575.714065,310,True,False,14.090318,-1.541596,14.090318,13.781998
-x_50,2,50.0000,-x,475.035482,312,True,False,8.985636,-1.114653,-2.088707,8.762706
-x_50,3,50.0000,-x,603.715559,308,True,False,15.606146,-2.519737,15.606146,15.102199
-x_50,4,50.0000,-x,572.765067,311,True,False,13.896886,-1.020359,-1.015353,13.692814
+y_50,0,50.0000,+y,650.430399,309,True,False,17.895754,3.002922,17.895754,17.295169
