condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
nominal,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
nominal,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
nominal,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
nominal,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
randomized,0,1.054785,0.861872,0.724584,2234.782151,1000,False,True,64.293618,1.882442,63.917130
randomized,1,0.806611,1.187962,1.247653,1984.840706,910,True,False,56.049130,1.610965,55.726937
randomized,2,1.042654,1.137698,1.026175,2195.361212,1000,False,True,62.294952,0.385904,62.217771
randomized,3,1.174029,1.189512,0.701643,957.092218,450,True,False,26.526452,-8.272801,24.871892
randomized,4,1.142962,0.720151,1.137793,2210.710566,1000,False,True,63.076844,-13.777260,60.321392
