condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
nominal,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
nominal,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
nominal,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
nominal,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
randomized,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
randomized,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
randomized,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
randomized,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
randomized,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
