condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
nominal,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
nominal,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
nominal,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
nominal,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
randomized,0,1.109569,0.769787,0.540974,2184.252116,1000,False,True,61.765993,-6.884382,60.389117
randomized,1,0.613222,1.313270,1.412756,133.061401,80,True,False,2.866050,-1.407417,2.584566
randomized,2,1.085309,1.229497,1.043625,1314.179405,1000,False,True,18.348804,0.655441,18.217716
randomized,3,1.348058,1.315854,0.502739,2144.405829,1000,False,True,59.771577,-4.603437,58.850889
randomized,4,1.285923,0.533586,1.229655,2126.106060,1000,False,True,58.886713,-12.304245,56.425864
