condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2231.089161,1000,False,True,64.156421,2.914568,63.573507
nominal,1,1.000000,1.000000,1.000000,973.072222,459,True,False,26.932872,-1.377643,26.657343
nominal,2,1.000000,1.000000,1.000000,2253.864124,1000,False,True,65.307628,-2.536382,64.800352
nominal,3,1.000000,1.000000,1.000000,2284.965652,1000,False,True,66.847954,2.633204,66.321313
nominal,4,1.000000,1.000000,1.000000,2207.051246,1000,False,True,62.957436,0.980840,62.761268
nominal,5,1.000000,1.000000,1.000000,2235.492824,1000,False,True,64.386402,-1.596188,64.067164
nominal,6,1.000000,1.000000,1.000000,2200.784735,1000,False,True,62.649463,0.937416,62.461980
nominal,7,1.000000,1.000000,1.000000,2155.570983,1000,False,True,60.408886,-1.858352,60.037215
nominal,8,1.000000,1.000000,1.000000,343.097251,190,True,False,8.175523,-4.055283,7.364467
nominal,9,1.000000,1.000000,1.000000,2251.907912,1000,False,True,65.176483,1.463487,64.883785
randomized,0,1.000000,1.000000,1.000000,2231.089161,1000,False,True,64.156421,2.914568,63.573507
randomized,1,1.000000,1.000000,1.000000,973.072222,459,True,False,26.932872,-1.377643,26.657343
randomized,2,1.000000,1.000000,1.000000,2253.864124,1000,False,True,65.307628,-2.536382,64.800352
randomized,3,1.000000,1.000000,1.000000,2284.965652,1000,False,True,66.847954,2.633204,66.321313
randomized,4,1.000000,1.000000,1.000000,2207.051246,1000,False,True,62.957436,0.980840,62.761268
randomized,5,1.000000,1.000000,1.000000,2235.492824,1000,False,True,64.386402,-1.596188,64.067164
randomized,6,1.000000,1.000000,1.000000,2200.784735,1000,False,True,62.649463,0.937416,62.461980
randomized,7,1.000000,1.000000,1.000000,2155.570983,1000,False,True,60.408886,-1.858352,60.037215
randomized,8,1.000000,1.000000,1.000000,343.097251,190,True,False,8.175523,-4.055283,7.364467
randomized,9,1.000000,1.000000,1.000000,2251.907912,1000,False,True,65.176483,1.463487,64.883785
