condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,91.851195,62,True,False,1.667158,-2.163087,1.234540
nominal,1,1.000000,1.000000,1.000000,1410.245768,628,True,False,40.725963,-1.096303,40.506703
nominal,2,1.000000,1.000000,1.000000,2198.093058,1000,False,True,62.474551,-9.381908,60.598169
nominal,3,1.000000,1.000000,1.000000,711.216027,359,True,False,18.562402,-2.634344,18.035534
nominal,4,1.000000,1.000000,1.000000,2225.749147,1000,False,True,63.832104,-4.404950,62.951114
randomized,0,1.054785,0.861872,0.724584,2168.157957,1000,False,True,60.983442,-4.576861,60.068070
randomized,1,0.806611,1.187962,1.247653,2233.496357,1000,False,True,64.213260,-0.049627,64.203334
randomized,2,1.042654,1.137698,1.026175,250.039940,139,True,False,5.940143,-4.089818,5.122179
randomized,3,1.174029,1.189512,0.701643,1280.365071,610,True,False,35.092676,-1.179485,34.856779
randomized,4,1.142962,0.720151,1.137793,2142.053091,1000,False,True,59.656311,-9.179961,57.820319
