condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2309.916996,1000,False,True,68.046172,-5.616063,66.922960
nominal,1,1.000000,1.000000,1.000000,550.041400,250,True,False,15.645920,-1.558604,15.334200
nominal,2,1.000000,1.000000,1.000000,500.987856,248,True,False,13.301273,-2.197087,12.861855
nominal,3,1.000000,1.000000,1.000000,2005.889108,879,True,False,58.600638,-0.764147,58.447808
nominal,4,1.000000,1.000000,1.000000,2334.724548,1000,False,True,69.297755,-3.798090,68.538137
randomized,0,1.000000,1.000000,1.000000,2309.916996,1000,False,True,68.046172,-5.616063,66.922960
randomized,1,1.000000,1.000000,1.000000,550.041400,250,True,False,15.645920,-1.558604,15.334200
randomized,2,1.000000,1.000000,1.000000,500.987856,248,True,False,13.301273,-2.197087,12.861855
randomized,3,1.000000,1.000000,1.000000,2005.889108,879,True,False,58.600638,-0.764147,58.447808
randomized,4,1.000000,1.000000,1.000000,2334.724548,1000,False,True,69.297755,-3.798090,68.538137
