condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2197.867445,1000,False,True,62.533438,4.613445,61.610749
nominal,1,1.000000,1.000000,1.000000,2253.744483,1000,False,True,65.319007,-3.127429,64.693521
nominal,2,1.000000,1.000000,1.000000,2202.677645,1000,False,True,62.801793,0.685053,62.664783
nominal,3,1.000000,1.000000,1.000000,1121.038503,498,True,False,32.471759,-3.721385,31.727482
nominal,4,1.000000,1.000000,1.000000,2266.832270,1000,False,True,65.983614,-2.125027,65.558608
randomized,0,1.000000,1.000000,1.000000,2197.867445,1000,False,True,62.533438,4.613445,61.610749
randomized,1,1.000000,1.000000,1.000000,2253.744483,1000,False,True,65.319007,-3.127429,64.693521
randomized,2,1.000000,1.000000,1.000000,2202.677645,1000,False,True,62.801793,0.685053,62.664783
randomized,3,1.000000,1.000000,1.000000,1121.038503,498,True,False,32.471759,-3.721385,31.727482
randomized,4,1.000000,1.000000,1.000000,2266.832270,1000,False,True,65.983614,-2.125027,65.558608
