condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2197.867445,1000,False,True,62.533438,4.613445,61.610749
nominal,1,1.000000,1.000000,1.000000,2253.744483,1000,False,True,65.319007,-3.127429,64.693521
nominal,2,1.000000,1.000000,1.000000,2202.677645,1000,False,True,62.801793,0.685053,62.664783
nominal,3,1.000000,1.000000,1.000000,1121.038503,498,True,False,32.471759,-3.721385,31.727482
nominal,4,1.000000,1.000000,1.000000,2266.832270,1000,False,True,65.983614,-2.125027,65.558608
randomized,0,1.109569,0.769787,0.540974,2121.054084,1000,False,True,58.775631,-3.741670,58.027297
randomized,1,0.613222,1.313270,1.412756,1459.342701,690,True,False,40.280909,6.615540,38.957801
randomized,2,1.085309,1.229497,1.043625,932.538425,450,True,False,25.330685,-4.235876,24.483509
randomized,3,1.348058,1.315854,0.502739,2163.209065,1000,False,True,60.830297,1.069137,60.616470
randomized,4,1.285923,0.533586,1.229655,2131.147723,1000,False,True,59.220098,-1.119141,58.996270
