checkpoint,robust_score,nominal_score,moderate_score,strong_score,nominal_success,moderate_success,strong_success,average_success
from25k_lr5e5_575736_steps,66.299146,57.210308,53.447373,61.558305,0.8000,0.8000,1.0000,0.8667
final_100k,63.405658,56.636722,52.034835,57.585714,0.8000,0.8000,0.8000,0.8000
from25k_lr5e5_600736_steps,62.146074,53.018212,64.326728,44.276249,1.0000,1.0000,0.6000,0.8667
original_500k,61.580982,57.251029,58.995382,48.216270,0.8000,0.8000,0.6000,0.7333
from25k_lr5e5_650736_steps,59.361895,51.432859,58.175994,47.021873,0.8000,0.8000,0.6000,0.7333
from25k_lr5e5_675736_steps,57.685659,44.686862,52.104156,52.360390,0.6000,0.8000,0.8000,0.7333
from25k_lr5e5_550736_steps,57.114916,61.018632,49.268637,43.207255,0.8000,0.8000,0.6000,0.7333
from25k_lr5e5_625736_steps,55.912943,58.518069,51.027495,40.226172,0.8000,0.8000,0.6000,0.7333
from25k_lr5e5_725736_steps,55.594308,54.469057,53.209654,40.050829,0.8000,0.8000,0.6000,0.7333
from25k_lr5e5_700736_steps,47.677647,50.204155,45.294856,36.516856,0.6000,0.4000,0.4000,0.4667
