condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,362.031666,179,True,False,9.658733,-3.654323,8.927868
nominal,1,1.000000,1.000000,1.000000,2300.037504,1000,False,True,67.767472,4.522862,66.862900
nominal,2,1.000000,1.000000,1.000000,2308.477811,1000,False,True,68.209088,-8.109860,66.587116
nominal,3,1.000000,1.000000,1.000000,2367.619136,1000,False,True,71.132013,-1.262165,70.879580
nominal,4,1.000000,1.000000,1.000000,2360.453616,1000,False,True,70.768276,-4.210639,69.926148
randomized,0,1.054785,0.861872,0.724584,2268.274652,1000,False,True,66.184162,3.571006,65.469960
randomized,1,0.806611,1.187962,1.247653,140.496157,70,True,False,3.720622,-1.495435,3.421535
randomized,2,1.042654,1.137698,1.026175,2326.586348,1000,False,True,69.087883,-6.226122,67.842658
randomized,3,1.174029,1.189512,0.701643,2171.621902,1000,False,True,61.345698,-4.899105,60.365877
randomized,4,1.142962,0.720151,1.137793,2226.291258,1000,False,True,64.070109,-4.979824,63.074144
