condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,362.031666,179,True,False,9.658733,-3.654323,8.927868
nominal,1,1.000000,1.000000,1.000000,2300.037504,1000,False,True,67.767472,4.522862,66.862900
nominal,2,1.000000,1.000000,1.000000,2308.477811,1000,False,True,68.209088,-8.109860,66.587116
nominal,3,1.000000,1.000000,1.000000,2367.619136,1000,False,True,71.132013,-1.262165,70.879580
nominal,4,1.000000,1.000000,1.000000,2360.453616,1000,False,True,70.768276,-4.210639,69.926148
randomized,0,1.000000,1.000000,1.000000,362.031666,179,True,False,9.658733,-3.654323,8.927868
randomized,1,1.000000,1.000000,1.000000,2300.037504,1000,False,True,67.767472,4.522862,66.862900
randomized,2,1.000000,1.000000,1.000000,2308.477811,1000,False,True,68.209088,-8.109860,66.587116
randomized,3,1.000000,1.000000,1.000000,2367.619136,1000,False,True,71.132013,-1.262165,70.879580
randomized,4,1.000000,1.000000,1.000000,2360.453616,1000,False,True,70.768276,-4.210639,69.926148
