condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,362.031666,179,True,False,9.658733,-3.654323,8.927868
nominal,1,1.000000,1.000000,1.000000,2300.037504,1000,False,True,67.767472,4.522862,66.862900
nominal,2,1.000000,1.000000,1.000000,2308.477811,1000,False,True,68.209088,-8.109860,66.587116
nominal,3,1.000000,1.000000,1.000000,2367.619136,1000,False,True,71.132013,-1.262165,70.879580
nominal,4,1.000000,1.000000,1.000000,2360.453616,1000,False,True,70.768276,-4.210639,69.926148
randomized,0,1.109569,0.769787,0.540974,2218.938817,1000,False,True,63.822271,-3.981102,63.026051
randomized,1,0.613222,1.313270,1.412756,1287.912903,571,True,False,37.388897,0.462584,37.296380
randomized,2,1.085309,1.229497,1.043625,2249.993730,1000,False,True,65.285273,1.306638,65.023945
randomized,3,1.348058,1.315854,0.502739,2256.562604,1000,False,True,65.620716,2.530461,65.114624
randomized,4,1.285923,0.533586,1.229655,2155.738233,1000,False,True,60.546652,-15.395419,57.467568
