condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2249.599030,1000,False,True,65.084111,-4.496090,64.184893
nominal,1,1.000000,1.000000,1.000000,2285.565773,1000,False,True,66.874536,-1.665544,66.541427
nominal,2,1.000000,1.000000,1.000000,2209.258694,1000,False,True,63.080483,-3.194093,62.441664
nominal,3,1.000000,1.000000,1.000000,2195.954559,1000,False,True,62.437491,-0.200135,62.397464
nominal,4,1.000000,1.000000,1.000000,1075.633930,490,True,False,30.557297,-0.356042,30.486089
nominal,5,1.000000,1.000000,1.000000,2249.222120,1000,False,True,65.114002,-6.582148,63.797572
nominal,6,1.000000,1.000000,1.000000,2021.839280,899,True,False,58.493494,-12.237190,56.046056
nominal,7,1.000000,1.000000,1.000000,2212.377971,1000,False,True,63.255908,-7.178035,61.820301
nominal,8,1.000000,1.000000,1.000000,2180.689099,1000,False,True,61.679119,-0.577444,61.563630
nominal,9,1.000000,1.000000,1.000000,217.585291,109,True,False,5.711434,-2.750006,5.161433
randomized,0,1.054785,0.861872,0.724584,2270.291398,1000,False,True,66.127217,-3.699681,65.387281
randomized,1,0.806611,1.187962,1.247653,2218.713647,1000,False,True,63.551103,0.081057,63.534891
randomized,2,1.042654,1.137698,1.026175,2198.298412,1000,False,True,62.526926,-0.213913,62.484143
randomized,3,1.174029,1.189512,0.701643,523.601999,250,True,False,14.347612,-4.513549,13.444903
randomized,4,1.142962,0.720151,1.137793,2221.373524,1000,False,True,63.704121,-6.592379,62.385645
randomized,5,0.870262,1.217907,1.024877,815.411638,370,True,False,23.239748,-5.735649,22.092619
randomized,6,0.919885,0.953612,0.716992,2230.013811,1000,False,True,64.122470,-4.825735,63.157323
randomized,7,0.849713,1.102375,1.088314,1199.859647,1000,False,True,12.631384,-6.525696,11.326245
randomized,8,1.046154,0.930207,1.298326,2196.953335,1000,False,True,62.479356,-5.183822,61.442591
randomized,9,1.192334,1.111325,1.090276,2256.324041,1000,False,True,65.432296,-0.692331,65.293830
