condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2249.599030,1000,False,True,65.084111,-4.496090,64.184893
nominal,1,1.000000,1.000000,1.000000,2285.565773,1000,False,True,66.874536,-1.665544,66.541427
nominal,2,1.000000,1.000000,1.000000,2209.258694,1000,False,True,63.080483,-3.194093,62.441664
nominal,3,1.000000,1.000000,1.000000,2195.954559,1000,False,True,62.437491,-0.200135,62.397464
nominal,4,1.000000,1.000000,1.000000,1075.633930,490,True,False,30.557297,-0.356042,30.486089
nominal,5,1.000000,1.000000,1.000000,2249.222120,1000,False,True,65.114002,-6.582148,63.797572
nominal,6,1.000000,1.000000,1.000000,2021.839280,899,True,False,58.493494,-12.237190,56.046056
nominal,7,1.000000,1.000000,1.000000,2212.377971,1000,False,True,63.255908,-7.178035,61.820301
nominal,8,1.000000,1.000000,1.000000,2180.689099,1000,False,True,61.679119,-0.577444,61.563630
nominal,9,1.000000,1.000000,1.000000,217.585291,109,True,False,5.711434,-2.750006,5.161433
randomized,0,1.000000,1.000000,1.000000,2249.599030,1000,False,True,65.084111,-4.496090,64.184893
randomized,1,1.000000,1.000000,1.000000,2285.565773,1000,False,True,66.874536,-1.665544,66.541427
randomized,2,1.000000,1.000000,1.000000,2209.258694,1000,False,True,63.080483,-3.194093,62.441664
randomized,3,1.000000,1.000000,1.000000,2195.954559,1000,False,True,62.437491,-0.200135,62.397464
randomized,4,1.000000,1.000000,1.000000,1075.633930,490,True,False,30.557297,-0.356042,30.486089
randomized,5,1.000000,1.000000,1.000000,2249.222120,1000,False,True,65.114002,-6.582148,63.797572
randomized,6,1.000000,1.000000,1.000000,2021.839280,899,True,False,58.493494,-12.237190,56.046056
randomized,7,1.000000,1.000000,1.000000,2212.377971,1000,False,True,63.255908,-7.178035,61.820301
randomized,8,1.000000,1.000000,1.000000,2180.689099,1000,False,True,61.679119,-0.577444,61.563630
randomized,9,1.000000,1.000000,1.000000,217.585291,109,True,False,5.711434,-2.750006,5.161433
