condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2286.721013,1000,False,True,66.997609,-3.583271,66.280954
nominal,1,1.000000,1.000000,1.000000,2230.006233,1000,False,True,64.190416,-4.819500,63.226516
nominal,2,1.000000,1.000000,1.000000,120.325491,90,True,False,1.783248,-3.408247,1.101599
nominal,3,1.000000,1.000000,1.000000,2234.249708,1000,False,True,64.392052,-4.143549,63.563342
nominal,4,1.000000,1.000000,1.000000,2209.600529,1000,False,True,63.135767,0.719414,62.991884
randomized,0,1.109569,0.769787,0.540974,2244.886161,1000,False,True,64.906086,-0.130980,64.879890
randomized,1,0.613222,1.313270,1.412756,997.802844,459,True,False,28.144013,-0.448359,28.054342
randomized,2,1.085309,1.229497,1.043625,2196.229817,1000,False,True,62.492838,-6.133173,61.266203
randomized,3,1.348058,1.315854,0.502739,770.658337,359,True,False,21.540183,-1.769586,21.186266
randomized,4,1.285923,0.533586,1.229655,2163.736382,1000,False,True,60.886588,-5.819616,59.722664
