condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2324.703339,1000,False,True,68.983718,-1.589041,68.665910
nominal,1,1.000000,1.000000,1.000000,2285.702331,1000,False,True,67.036326,1.134582,66.809410
nominal,2,1.000000,1.000000,1.000000,2247.792631,1000,False,True,65.118211,1.830151,64.752181
nominal,3,1.000000,1.000000,1.000000,1319.663251,557,True,False,39.661171,-7.006707,38.259830
nominal,4,1.000000,1.000000,1.000000,455.977210,210,True,False,12.884815,-1.756853,12.533444
randomized,0,1.000000,1.000000,1.000000,2324.703339,1000,False,True,68.983718,-1.589041,68.665910
randomized,1,1.000000,1.000000,1.000000,2285.702331,1000,False,True,67.036326,1.134582,66.809410
randomized,2,1.000000,1.000000,1.000000,2247.792631,1000,False,True,65.118211,1.830151,64.752181
randomized,3,1.000000,1.000000,1.000000,1319.663251,557,True,False,39.661171,-7.006707,38.259830
randomized,4,1.000000,1.000000,1.000000,455.977210,210,True,False,12.884815,-1.756853,12.533444
