condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2325.851093,1000,False,True,69.069109,0.764200,68.916269
nominal,1,1.000000,1.000000,1.000000,2311.819762,1000,False,True,68.348689,-3.460504,67.656588
nominal,2,1.000000,1.000000,1.000000,102.407845,70,True,False,1.837241,-2.195173,1.398206
nominal,3,1.000000,1.000000,1.000000,2256.667937,1000,False,True,65.618890,-6.354118,64.348067
nominal,4,1.000000,1.000000,1.000000,2353.068146,1000,False,True,70.416131,-1.949885,70.026154
randomized,0,1.054785,0.861872,0.724584,2181.938710,1000,False,True,61.918578,-2.065629,61.505452
randomized,1,0.806611,1.187962,1.247653,337.017757,159,True,False,9.346698,-3.902288,8.566240
randomized,2,1.042654,1.137698,1.026175,2333.976868,1000,False,True,69.433234,-2.702799,68.892674
randomized,3,1.174029,1.189512,0.701643,2258.339953,1000,False,True,65.698455,-0.903801,65.517695
randomized,4,1.142962,0.720151,1.137793,2222.138514,1000,False,True,63.887228,-11.605092,61.566210
