condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1704.701018,1000,False,True,37.996270,-0.910681,37.814134
nominal,1,1.000000,1.000000,1.000000,2299.105195,1000,False,True,67.716594,-1.354881,67.445618
nominal,2,1.000000,1.000000,1.000000,2234.803498,1000,False,True,64.500262,-4.300191,63.640224
nominal,3,1.000000,1.000000,1.000000,2251.952404,1000,False,True,65.362426,-5.766610,64.209104
nominal,4,1.000000,1.000000,1.000000,1894.186303,830,True,False,55.493521,-7.303682,54.032785
nominal,5,1.000000,1.000000,1.000000,2261.725063,1000,False,True,65.834378,-5.342735,64.765831
nominal,6,1.000000,1.000000,1.000000,302.961401,150,True,False,8.065230,-4.790305,7.107169
nominal,7,1.000000,1.000000,1.000000,2133.652109,1000,False,True,59.443066,-5.631693,58.316728
nominal,8,1.000000,1.000000,1.000000,2199.954061,1000,False,True,62.745694,-6.141707,61.517352
nominal,9,1.000000,1.000000,1.000000,334.194408,160,True,False,9.148262,-4.288021,8.290658
randomized,0,1.054785,0.861872,0.724584,2186.491973,1000,False,True,62.066355,-7.347257,60.596904
randomized,1,0.806611,1.187962,1.247653,996.250705,1000,False,True,2.487926,0.367264,2.414474
randomized,2,1.042654,1.137698,1.026175,2177.003268,1000,False,True,61.611694,-1.222242,61.367245
randomized,3,1.174029,1.189512,0.701643,2154.960280,1000,False,True,60.507945,-2.926034,59.922738
randomized,4,1.142962,0.720151,1.137793,2169.721903,1000,False,True,61.272242,-10.363677,59.199506
randomized,5,0.870262,1.217907,1.024877,139.376458,80,True,False,3.194503,-1.477049,2.899093
randomized,6,0.919885,0.953612,0.716992,2144.620609,1000,False,True,60.004656,-3.999895,59.204677
randomized,7,0.849713,1.102375,1.088314,1020.304901,1000,False,True,3.690132,-2.043351,3.281462
randomized,8,1.046154,0.930207,1.298326,1196.617815,559,True,False,33.441785,-8.803270,31.681131
randomized,9,1.192334,1.111325,1.090276,362.481121,171,True,False,10.047874,-3.418381,9.364198
