condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1704.701018,1000,False,True,37.996270,-0.910681,37.814134
nominal,1,1.000000,1.000000,1.000000,2299.105195,1000,False,True,67.716594,-1.354881,67.445618
nominal,2,1.000000,1.000000,1.000000,2234.803498,1000,False,True,64.500262,-4.300191,63.640224
nominal,3,1.000000,1.000000,1.000000,2251.952404,1000,False,True,65.362426,-5.766610,64.209104
nominal,4,1.000000,1.000000,1.000000,1894.186303,830,True,False,55.493521,-7.303682,54.032785
nominal,5,1.000000,1.000000,1.000000,2261.725063,1000,False,True,65.834378,-5.342735,64.765831
nominal,6,1.000000,1.000000,1.000000,302.961401,150,True,False,8.065230,-4.790305,7.107169
nominal,7,1.000000,1.000000,1.000000,2133.652109,1000,False,True,59.443066,-5.631693,58.316728
nominal,8,1.000000,1.000000,1.000000,2199.954061,1000,False,True,62.745694,-6.141707,61.517352
nominal,9,1.000000,1.000000,1.000000,334.194408,160,True,False,9.148262,-4.288021,8.290658
randomized,0,1.109569,0.769787,0.540974,2217.383247,1000,False,True,63.636869,-2.182903,63.200289
randomized,1,0.613222,1.313270,1.412756,2174.584960,1000,False,True,61.438104,12.715892,58.894926
randomized,2,1.085309,1.229497,1.043625,1045.431812,490,True,False,29.127828,-2.041300,28.719568
randomized,3,1.348058,1.315854,0.502739,2061.862478,1000,False,True,55.833520,7.711432,54.291234
randomized,4,1.285923,0.533586,1.229655,2104.082861,1000,False,True,57.986341,-17.779013,54.430538
randomized,5,0.740524,1.363179,1.041461,784.294961,371,True,False,21.666276,-5.982131,20.469850
randomized,6,0.839770,0.922687,0.528320,275.144036,150,True,False,6.675328,-4.704229,5.734482
randomized,7,0.699427,1.170624,1.147190,108.051834,83,True,False,1.498737,-3.177932,0.863150
randomized,8,1.092308,0.883678,1.497210,900.970157,419,True,False,25.246162,-6.222859,24.001590
randomized,9,1.384668,1.185542,1.150459,2243.485349,1000,False,True,64.883888,-1.218264,64.640235
