condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2197.867445,1000,False,True,62.533438,4.613445,61.610749
nominal,1,1.000000,1.000000,1.000000,2253.744483,1000,False,True,65.319007,-3.127429,64.693521
nominal,2,1.000000,1.000000,1.000000,2202.677645,1000,False,True,62.801793,0.685053,62.664783
nominal,3,1.000000,1.000000,1.000000,1121.038503,498,True,False,32.471759,-3.721385,31.727482
nominal,4,1.000000,1.000000,1.000000,2266.832270,1000,False,True,65.983614,-2.125027,65.558608
nominal,5,1.000000,1.000000,1.000000,2216.023417,1000,False,True,63.463237,2.980266,62.867184
nominal,6,1.000000,1.000000,1.000000,2208.638074,1000,False,True,63.070570,1.823755,62.705819
nominal,7,1.000000,1.000000,1.000000,673.151894,311,True,False,18.933704,-3.356514,18.262401
nominal,8,1.000000,1.000000,1.000000,2252.142247,1000,False,True,65.256619,0.603489,65.135921
nominal,9,1.000000,1.000000,1.000000,2297.033474,1000,False,True,67.498435,-1.843198,67.129796
randomized,0,1.054785,0.861872,0.724584,2202.673930,1000,False,True,62.811853,-2.790361,62.253781
randomized,1,0.806611,1.187962,1.247653,1834.729089,818,True,False,52.997084,-4.299647,52.137155
randomized,2,1.042654,1.137698,1.026175,2151.277928,1000,False,True,60.208657,0.347547,60.139148
randomized,3,1.174029,1.189512,0.701643,2192.622927,1000,False,True,62.302901,-5.931236,61.116654
randomized,4,1.142962,0.720151,1.137793,2135.252530,1000,False,True,59.443067,-0.564471,59.330172
randomized,5,0.870262,1.217907,1.024877,2244.842680,1000,False,True,64.865216,-2.065443,64.452127
randomized,6,0.919885,0.953612,0.716992,2253.203325,1000,False,True,65.312578,-2.261046,64.860368
randomized,7,0.849713,1.102375,1.088314,2222.366556,1000,False,True,63.764595,-0.217846,63.721025
randomized,8,1.046154,0.930207,1.298326,102.999089,80,True,False,1.384432,-2.489080,0.886616
randomized,9,1.192334,1.111325,1.090276,2167.361172,1000,False,True,60.978972,2.405271,60.497918
