condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
nominal,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
nominal,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
nominal,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
nominal,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
nominal,5,1.000000,1.000000,1.000000,2286.335015,1000,False,True,66.851684,-3.679238,66.115836
nominal,6,1.000000,1.000000,1.000000,1764.553023,779,True,False,51.264095,-4.361778,50.391739
nominal,7,1.000000,1.000000,1.000000,2197.091972,1000,False,True,62.420550,-10.498807,60.320789
nominal,8,1.000000,1.000000,1.000000,2296.990244,1000,False,True,67.420893,-11.521988,65.116496
nominal,9,1.000000,1.000000,1.000000,2245.558404,1000,False,True,64.809820,-11.226594,62.564501
randomized,0,1.054785,0.861872,0.724584,2234.782151,1000,False,True,64.293618,1.882442,63.917130
randomized,1,0.806611,1.187962,1.247653,1984.840706,910,True,False,56.049130,1.610965,55.726937
randomized,2,1.042654,1.137698,1.026175,2195.361212,1000,False,True,62.294952,0.385904,62.217771
randomized,3,1.174029,1.189512,0.701643,957.092218,450,True,False,26.526452,-8.272801,24.871892
randomized,4,1.142962,0.720151,1.137793,2210.710566,1000,False,True,63.076844,-13.777260,60.321392
randomized,5,0.870262,1.217907,1.024877,1372.227437,587,True,False,40.748115,-7.457777,39.256559
randomized,6,0.919885,0.953612,0.716992,2310.506377,1000,False,True,68.057128,-1.368710,67.783386
randomized,7,0.849713,1.102375,1.088314,110.758790,79,True,False,1.814046,-4.369885,0.940069
randomized,8,1.046154,0.930207,1.298326,2208.589798,1000,False,True,62.985504,-14.607634,60.063977
randomized,9,1.192334,1.111325,1.090276,550.570209,260,True,False,15.210275,-3.369275,14.536420
