condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
nominal,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
nominal,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
nominal,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
nominal,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
nominal,5,1.000000,1.000000,1.000000,2286.335015,1000,False,True,66.851684,-3.679238,66.115836
nominal,6,1.000000,1.000000,1.000000,1764.553023,779,True,False,51.264095,-4.361778,50.391739
nominal,7,1.000000,1.000000,1.000000,2197.091972,1000,False,True,62.420550,-10.498807,60.320789
nominal,8,1.000000,1.000000,1.000000,2296.990244,1000,False,True,67.420893,-11.521988,65.116496
nominal,9,1.000000,1.000000,1.000000,2245.558404,1000,False,True,64.809820,-11.226594,62.564501
randomized,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
randomized,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
randomized,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
randomized,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
randomized,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
randomized,5,1.000000,1.000000,1.000000,2286.335015,1000,False,True,66.851684,-3.679238,66.115836
randomized,6,1.000000,1.000000,1.000000,1764.553023,779,True,False,51.264095,-4.361778,50.391739
randomized,7,1.000000,1.000000,1.000000,2197.091972,1000,False,True,62.420550,-10.498807,60.320789
randomized,8,1.000000,1.000000,1.000000,2296.990244,1000,False,True,67.420893,-11.521988,65.116496
randomized,9,1.000000,1.000000,1.000000,2245.558404,1000,False,True,64.809820,-11.226594,62.564501
