condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,1683.299785,750,True,False,48.563201,-6.789508,47.205299
nominal,1,1.000000,1.000000,1.000000,2225.634769,1000,False,True,63.819581,-8.298003,62.159980
nominal,2,1.000000,1.000000,1.000000,1108.338991,511,True,False,31.187129,-3.599888,30.467151
nominal,3,1.000000,1.000000,1.000000,2271.658506,1000,False,True,66.135303,-6.575356,64.820231
nominal,4,1.000000,1.000000,1.000000,2246.696950,1000,False,True,64.880854,-3.255296,64.229795
nominal,5,1.000000,1.000000,1.000000,2286.335015,1000,False,True,66.851684,-3.679238,66.115836
nominal,6,1.000000,1.000000,1.000000,1764.553023,779,True,False,51.264095,-4.361778,50.391739
nominal,7,1.000000,1.000000,1.000000,2197.091972,1000,False,True,62.420550,-10.498807,60.320789
nominal,8,1.000000,1.000000,1.000000,2296.990244,1000,False,True,67.420893,-11.521988,65.116496
nominal,9,1.000000,1.000000,1.000000,2245.558404,1000,False,True,64.809820,-11.226594,62.564501
randomized,0,1.109569,0.769787,0.540974,2184.252116,1000,False,True,61.765993,-6.884382,60.389117
randomized,1,0.613222,1.313270,1.412756,133.061401,80,True,False,2.866050,-1.407417,2.584566
randomized,2,1.085309,1.229497,1.043625,1314.179405,1000,False,True,18.348804,0.655441,18.217716
randomized,3,1.348058,1.315854,0.502739,2144.405829,1000,False,True,59.771577,-4.603437,58.850889
randomized,4,1.285923,0.533586,1.229655,2126.106060,1000,False,True,58.886713,-12.304245,56.425864
randomized,5,0.740524,1.363179,1.041461,545.337202,291,True,False,13.482523,-6.435548,12.195414
randomized,6,0.839770,0.922687,0.528320,2236.626444,1000,False,True,64.380743,-7.029998,62.974743
randomized,7,0.699427,1.170624,1.147190,1418.703949,608,True,False,42.060444,-7.310031,40.598437
randomized,8,1.092308,0.883678,1.497210,2101.099455,1000,False,True,57.624073,-10.552124,55.513648
randomized,9,1.384668,1.185542,1.150459,2147.025306,1000,False,True,59.905554,-7.473346,58.410884
