condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2197.867445,1000,False,True,62.533438,4.613445,61.610749
nominal,1,1.000000,1.000000,1.000000,2253.744483,1000,False,True,65.319007,-3.127429,64.693521
nominal,2,1.000000,1.000000,1.000000,2202.677645,1000,False,True,62.801793,0.685053,62.664783
nominal,3,1.000000,1.000000,1.000000,1121.038503,498,True,False,32.471759,-3.721385,31.727482
nominal,4,1.000000,1.000000,1.000000,2266.832270,1000,False,True,65.983614,-2.125027,65.558608
nominal,5,1.000000,1.000000,1.000000,2216.023417,1000,False,True,63.463237,2.980266,62.867184
nominal,6,1.000000,1.000000,1.000000,2208.638074,1000,False,True,63.070570,1.823755,62.705819
nominal,7,1.000000,1.000000,1.000000,673.151894,311,True,False,18.933704,-3.356514,18.262401
nominal,8,1.000000,1.000000,1.000000,2252.142247,1000,False,True,65.256619,0.603489,65.135921
nominal,9,1.000000,1.000000,1.000000,2297.033474,1000,False,True,67.498435,-1.843198,67.129796
randomized,0,1.109569,0.769787,0.540974,2121.054084,1000,False,True,58.775631,-3.741670,58.027297
randomized,1,0.613222,1.313270,1.412756,1459.342701,690,True,False,40.280909,6.615540,38.957801
randomized,2,1.085309,1.229497,1.043625,932.538425,450,True,False,25.330685,-4.235876,24.483509
randomized,3,1.348058,1.315854,0.502739,2163.209065,1000,False,True,60.830297,1.069137,60.616470
randomized,4,1.285923,0.533586,1.229655,2131.147723,1000,False,True,59.220098,-1.119141,58.996270
randomized,5,0.740524,1.363179,1.041461,1258.341921,571,True,False,35.883095,0.330630,35.816969
randomized,6,0.839770,0.922687,0.528320,159.454469,89,True,False,3.768804,-2.643172,3.240170
randomized,7,0.699427,1.170624,1.147190,103.987573,80,True,False,1.428310,-2.679067,0.892497
randomized,8,1.092308,0.883678,1.497210,2186.982423,1000,False,True,62.031602,-0.794192,61.872763
randomized,9,1.384668,1.185542,1.150459,2170.779385,1000,False,True,61.187224,2.225480,60.742128
