rank,frequency,action_sign,action_scale,knee_action_scale,trials,mean_return,mean_length,success_rate,mean_x_displacement,mean_y_displacement,mean_forward_score,std_forward_score,rank_score
1,1.0000,-1.0,0.2000,0.1000,3,358.444045,300.00,1.0000,3.672203,-3.428628,2.986477,3.789601,4.986477
2,0.8000,-1.0,0.5000,0.1000,3,275.293382,264.67,0.6667,3.969019,-4.002249,3.168570,1.862457,4.825236
3,1.0000,-1.0,0.5000,0.1000,3,205.207667,168.33,0.3333,4.039760,-1.657182,3.488700,4.093723,4.497033
4,0.4000,-1.0,0.4000,0.1000,3,315.814565,300.00,1.0000,3.340728,-4.258531,2.489022,1.071381,4.489022
5,0.6000,-1.0,0.3000,0.1000,3,340.564493,300.00,1.0000,3.528146,-6.025070,2.323132,0.760579,4.323132
6,1.0000,-1.0,0.3000,0.3000,3,286.302260,300.00,1.0000,2.014755,-1.811939,1.652367,0.960814,3.652367
7,0.4000,-1.0,0.2000,0.5000,3,242.749526,300.00,1.0000,1.487456,-0.032426,1.403012,0.506362,3.403012
8,0.4000,-1.0,0.5000,0.1000,3,269.467074,300.00,1.0000,2.373344,-5.013475,1.370649,1.588338,3.370649
9,0.6000,-1.0,0.4000,0.1000,3,295.145096,300.00,1.0000,2.307768,-6.220358,1.063697,2.436877,3.063697
10,0.8000,-1.0,0.2000,0.3000,3,230.341182,223.67,0.6667,1.786862,-1.861091,1.414644,1.545198,2.866311
11,0.4000,1.0,0.1000,0.3000,3,289.766876,300.00,1.0000,0.988360,-0.671882,0.853983,1.567044,2.853983
12,0.8000,-1.0,0.4000,0.1000,3,285.377474,300.00,1.0000,1.818874,-5.592372,0.700399,3.858066,2.700399
13,0.4000,1.0,0.2000,0.2000,3,299.849140,300.00,1.0000,1.192466,-3.189050,0.554656,1.322110,2.554656
14,0.8000,-1.0,0.2000,0.4000,3,173.101787,172.67,0.3333,1.743281,-1.184127,1.506456,1.259877,2.536456
15,0.6000,-1.0,0.1000,0.5000,3,237.967808,300.00,1.0000,0.798394,-1.518667,0.494660,1.048573,2.494660
16,0.6000,-1.0,0.5000,0.1000,3,253.020578,300.00,1.0000,1.551016,-5.463096,0.458397,3.790405,2.458397
17,1.0000,-1.0,0.4000,0.3000,3,243.304834,299.00,0.6667,0.953676,-1.682743,0.617127,3.099221,2.445461
18,0.4000,-1.0,0.3000,0.5000,3,161.382164,211.67,0.6667,1.092727,-0.239444,1.044485,0.721992,2.436152
