condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,2290.161216,1000,False,True,67.209640,2.085325,47.847671,66.792575
no_push,1,0.0000,none,2276.944883,1000,False,True,66.539073,-1.722519,47.948179,66.194569
no_push,2,0.0000,none,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
no_push,3,0.0000,none,1247.049039,528,True,False,37.368682,-0.131046,15.455289,37.342472
no_push,4,0.0000,none,2339.038472,1000,False,True,69.648576,-2.486595,49.721111,69.151257
+x_5,0,5.0000,+x,2362.629236,1000,False,True,70.824595,-1.716410,51.006365,70.481313
+x_5,1,5.0000,+x,2218.077969,1000,False,True,63.596081,-0.993887,44.609836,63.397304
+x_5,2,5.0000,+x,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
+x_5,3,5.0000,+x,2361.477627,1000,False,True,70.747364,0.353296,48.445194,70.676705
+x_5,4,5.0000,+x,1007.430826,430,True,False,30.043399,-5.741867,9.584361,28.895025
-x_5,0,5.0000,-x,2322.231941,1000,False,True,68.804530,5.223869,49.905245,67.759757
-x_5,1,5.0000,-x,2213.866931,1000,False,True,63.388797,-6.892350,45.201366,62.010327
-x_5,2,5.0000,-x,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
-x_5,3,5.0000,-x,1358.278216,1000,False,True,20.639511,-1.958798,-0.794525,20.247752
-x_5,4,5.0000,-x,2305.142010,1000,False,True,67.950861,2.657474,48.547192,67.419366
+y_5,0,5.0000,+y,1615.183040,707,True,False,47.324419,-0.814946,27.967022,47.161429
+y_5,1,5.0000,+y,2318.222610,1000,False,True,68.613535,4.618569,50.044609,67.689821
+y_5,2,5.0000,+y,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
+y_5,3,5.0000,+y,2382.577355,1000,False,True,71.817528,0.786090,49.896078,71.660310
+y_5,4,5.0000,+y,2229.906729,1000,False,True,64.208333,-2.154498,44.173605,63.777434
-y_5,0,5.0000,-y,1876.914272,814,True,False,55.325953,-2.615932,36.038798,54.802767
-y_5,1,5.0000,-y,2257.403712,1000,False,True,65.578589,2.601069,47.041763,65.058375
-y_5,2,5.0000,-y,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
-y_5,3,5.0000,-y,2395.648152,1000,False,True,72.455531,-5.321013,50.566965,71.391328
-y_5,4,5.0000,-y,2283.153434,1000,False,True,66.849863,-2.042428,46.947392,66.441378
+x_10,0,10.0000,+x,706.471179,313,True,False,20.520181,-0.913615,0.443913,20.337458
+x_10,1,10.0000,+x,758.880200,338,True,False,21.970405,0.171704,2.533841,21.936064
+x_10,2,10.0000,+x,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
+x_10,3,10.0000,+x,2462.175970,1000,False,True,75.767729,-1.612249,53.014769,75.445280
+x_10,4,10.0000,+x,729.253681,316,True,False,21.523583,-5.271526,0.705052,20.469277
-x_10,0,10.0000,-x,1122.431294,538,True,False,30.683655,1.972323,12.327671,30.289190
-x_10,1,10.0000,-x,1280.138121,1000,False,True,16.736104,-1.133003,-1.003008,16.509503
-x_10,2,10.0000,-x,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
-x_10,3,10.0000,-x,1337.452361,1000,False,True,19.595405,-1.710787,-1.403071,19.253248
-x_10,4,10.0000,-x,2213.419493,1000,False,True,63.362372,-2.870672,44.306966,62.788238
+y_10,0,10.0000,+y,984.463008,449,True,False,27.989385,3.438764,8.568816,27.301632
+y_10,1,10.0000,+y,1140.667537,538,True,False,31.601180,7.981496,13.020747,30.004881
+y_10,2,10.0000,+y,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
+y_10,3,10.0000,+y,2354.647920,1000,False,True,70.400154,4.077675,48.534880,69.584619
+y_10,4,10.0000,+y,698.605463,318,True,False,19.905798,-3.281335,-0.000667,19.249531
-y_10,0,10.0000,-y,1333.647015,1000,False,True,19.438727,-4.048335,0.174140,18.629060
-y_10,1,10.0000,-y,1522.652951,670,True,False,44.446238,-0.826658,25.973208,44.280906
-y_10,2,10.0000,-y,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
-y_10,3,10.0000,-y,747.296681,317,True,False,22.366947,-2.948927,0.471363,21.777161
-y_10,4,10.0000,-y,688.243005,307,True,False,19.904055,-6.105705,19.904055,18.682914
+x_25,0,25.0000,+x,703.426138,308,True,False,20.612458,-1.249803,20.612458,20.362497
+x_25,1,25.0000,+x,740.837361,313,True,False,22.247200,-0.443378,1.473208,22.158525
+x_25,2,25.0000,+x,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
+x_25,3,25.0000,+x,810.508992,313,True,False,25.712418,-1.579626,1.523240,25.396492
+x_25,4,25.0000,+x,778.647117,313,True,False,24.139165,-5.598012,1.548848,23.019563
-x_25,0,25.0000,-x,1151.079061,1000,False,True,10.284816,-1.962234,-6.660943,9.892369
-x_25,1,25.0000,-x,611.217127,311,True,False,15.857627,-0.276259,-0.426095,15.802375
-x_25,2,25.0000,-x,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
-x_25,3,25.0000,-x,672.768500,311,True,False,18.914491,-1.441347,-0.445067,18.626222
-x_25,4,25.0000,-x,613.653719,313,True,False,15.881406,-5.883496,-1.299904,14.704706
+y_25,0,25.0000,+y,694.287793,325,True,False,19.355303,6.960524,-0.010615,17.963198
+y_25,1,25.0000,+y,674.605806,323,True,False,18.463152,7.884031,-0.057088,16.886346
+y_25,2,25.0000,+y,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
+y_25,3,25.0000,+y,754.170790,329,True,False,22.146838,6.782752,0.462760,20.790288
+y_25,4,25.0000,+y,692.474927,311,True,False,19.922452,-2.574783,-0.008657,19.407495
-y_25,0,25.0000,-y,680.845741,312,True,False,19.291064,-4.222003,-0.035316,18.446663
-y_25,1,25.0000,-y,687.928966,333,True,False,18.657411,-9.501083,0.321644,16.757195
-y_25,2,25.0000,-y,347.304916,176,True,False,9.043341,-3.859585,9.043341,8.271424
