condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1700.099705,740.80,0.6000,0.6000,49.961862,2.057014,34.003118,49.550460
+x_5,5,1659.384115,721.20,0.6000,0.6000,48.850956,2.533009,32.537819,48.344354
-x_5,5,1709.364803,835.20,0.8000,0.6000,45.965408,4.118415,30.380524,45.141725
+y_5,5,1778.638930,776.60,0.6000,0.6000,52.201431,2.446738,36.224931,51.712084
-y_5,5,1832.084897,798.00,0.6000,0.6000,53.850655,3.288005,37.927652,53.193054
+x_10,5,1000.817189,428.60,0.2000,0.2000,29.765048,2.365736,13.148183,29.291901
-x_10,5,1260.149237,742.80,0.6000,0.2000,27.884175,2.309274,12.654380,27.422321
+y_10,5,1105.137769,496.20,0.2000,0.2000,31.787972,4.527771,15.833423,30.882417
-y_10,5,927.828914,494.00,0.2000,0.2000,23.039862,3.557842,11.113222,22.328293
+x_25,5,676.144905,284.60,0.0000,0.0000,20.350916,2.546081,6.840219,19.841700
-x_25,5,679.204665,422.20,0.2000,0.0000,13.996336,2.684584,0.042266,13.459419
+y_25,5,632.568846,292.80,0.0000,0.0000,17.786217,5.612335,1.885948,16.663750
-y_25,5,626.341481,287.40,0.0000,0.0000,17.729820,5.593129,10.197391,16.611194
+x_50,5,680.748832,281.80,0.0000,0.0000,20.716288,2.669987,20.716288,20.182291
-x_50,5,490.121823,285.20,0.0000,0.0000,11.015697,2.577478,5.454307,10.500202
+y_50,5,619.695645,282.80,0.0000,0.0000,17.611359,3.259677,13.930484,16.959424
-y_50,5,620.366416,281.80,0.0000,0.0000,17.696634,5.751248,13.689769,16.546385
