condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,2008.432069,899.60,0.8000,0.8000,57.821922,2.854468,39.330456,57.251029
+x_5,5,2230.873176,1000.00,1.0000,1.0000,64.198414,2.081562,45.279326,63.782102
-x_5,5,1987.100346,906.20,0.8000,0.8000,56.444313,1.670611,38.362587,56.110191
+y_5,5,2104.137439,978.20,0.8000,0.8000,58.883101,4.199795,40.378357,58.043142
-y_5,5,1969.934358,886.00,0.8000,0.8000,56.540556,1.763551,38.036127,56.187846
+x_10,5,2242.135170,1000.00,1.0000,1.0000,64.764180,1.911440,45.413699,64.381892
-x_10,5,1273.474530,1000.00,1.0000,0.0000,16.365055,2.063539,-1.266184,15.952347
+y_10,5,2043.589710,1000.00,1.0000,1.0000,54.823070,3.740905,36.244717,54.074889
-y_10,5,1901.325806,873.00,0.8000,0.8000,53.733766,1.675713,35.236861,53.398623
+x_25,5,713.186131,310.60,0.0000,0.0000,20.958061,1.594557,8.550825,20.639150
-x_25,5,801.469932,593.60,0.4000,0.0000,11.984270,0.800776,-4.281300,11.824115
+y_25,5,683.827295,323.00,0.0000,0.0000,18.902979,6.299984,0.393905,17.642982
-y_25,5,662.789127,311.00,0.0000,0.0000,18.420840,4.184112,14.601145,17.584017
+x_50,5,747.339470,309.00,0.0000,0.0000,22.743234,1.782508,22.743234,22.386732
-x_50,5,548.890811,310.40,0.0000,0.0000,12.742512,1.408607,5.099360,12.460790
+y_50,5,662.751650,310.00,0.0000,0.0000,18.459884,3.453512,14.737596,17.769182
-y_50,5,657.770804,307.40,0.0000,0.0000,18.340177,4.506920,18.340177,17.438793
