condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1557.949049,697.60,0.6000,0.6000,44.846720,1.480659,33.713773,44.550588
+x_5,5,1573.381656,697.60,0.6000,0.6000,45.622892,3.150035,34.259808,44.992885
-x_5,5,1549.417068,697.60,0.6000,0.6000,44.423369,3.426703,33.536848,43.738028
+y_5,5,1556.004562,697.60,0.6000,0.6000,44.754066,2.532490,33.605592,44.247568
-y_5,5,1328.743020,597.40,0.4000,0.4000,38.138934,2.480618,27.036779,37.642810
+x_10,5,1226.512771,697.60,0.6000,0.6000,28.294631,2.154971,16.675710,27.863637
-x_10,5,919.644067,591.80,0.4000,0.0000,17.965928,2.057317,7.329253,17.554465
+y_10,5,928.328873,425.60,0.2000,0.2000,26.260367,3.444091,15.112452,25.571549
-y_10,5,1254.472105,563.20,0.4000,0.4000,36.050826,2.814564,24.946176,35.487913
+x_25,5,648.882615,285.20,0.0000,0.0000,18.942372,1.867712,6.537149,18.568830
-x_25,5,661.551232,426.80,0.2000,0.0000,12.878130,1.793875,3.214500,12.519355
+y_25,5,892.032380,426.20,0.2000,0.2000,24.423113,6.302867,13.288166,23.162539
-y_25,5,605.129444,283.80,0.0000,0.0000,16.822031,3.460747,9.212617,16.129882
+x_50,5,655.496203,283.00,0.0000,0.0000,19.380051,2.069018,19.380051,18.966248
-x_50,5,524.010237,284.40,0.0000,0.0000,12.733713,1.933865,10.495232,12.346940
+y_50,5,603.413909,282.80,0.0000,0.0000,16.782826,2.251446,13.201070,16.332537
-y_50,5,603.110843,281.60,0.0000,0.0000,16.826403,3.471750,16.826403,16.132053
