condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,2265.601541,1000,False,True,65.975524,6.182395,48.887903,64.739045
no_push,1,0.0000,none,2243.040871,1000,False,True,64.826407,-5.109635,45.955176,63.804480
no_push,2,0.0000,none,2284.401180,1000,False,True,66.878718,3.758168,47.436690,66.127085
no_push,3,0.0000,none,1369.482999,589,True,False,40.605135,-5.341257,19.953333,39.536884
no_push,4,0.0000,none,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+x_5,0,5.0000,+x,2207.705016,1000,False,True,63.094694,-2.041888,45.528281,62.686317
+x_5,1,5.0000,+x,2249.562107,1000,False,True,65.139783,3.148606,45.866864,64.510062
+x_5,2,5.0000,+x,2281.544341,1000,False,True,66.739784,1.339939,46.860712,66.471796
+x_5,3,5.0000,+x,1625.045929,710,True,False,47.653325,-6.129593,26.594302,46.427407
+x_5,4,5.0000,+x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-x_5,0,5.0000,-x,1919.620195,849,True,False,55.812423,-2.005860,39.221286,55.411251
-x_5,1,5.0000,-x,2250.562610,1000,False,True,65.185462,1.025990,46.739216,64.980264
-x_5,2,5.0000,-x,2208.289308,1000,False,True,63.071436,-2.893127,44.026765,62.492810
-x_5,3,5.0000,-x,2248.639959,1000,False,True,65.116268,-1.357923,44.869926,64.844684
-x_5,4,5.0000,-x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+y_5,0,5.0000,+y,2210.559949,1000,False,True,63.206414,1.713771,46.195537,62.863660
+y_5,1,5.0000,+y,2287.017818,1000,False,True,67.001312,2.945473,48.102324,66.412217
+y_5,2,5.0000,+y,2216.071029,1000,False,True,63.467981,-4.284259,44.041942,62.611130
+y_5,3,5.0000,+y,1355.249921,1000,False,True,20.474444,-2.806210,-0.213111,19.913202
+y_5,4,5.0000,+y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-y_5,0,5.0000,-y,2270.538081,1000,False,True,66.214749,0.910027,49.201424,66.032743
-y_5,1,5.0000,-y,2260.295896,1000,False,True,65.660734,2.176823,46.837369,65.225369
-y_5,2,5.0000,-y,2223.542110,1000,False,True,63.837620,0.291183,44.376836,63.779383
-y_5,3,5.0000,-y,2347.617066,1000,False,True,70.025530,-5.080090,49.403216,69.009512
-y_5,4,5.0000,-y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+x_10,0,10.0000,+x,2299.129155,1000,False,True,67.663085,-1.820655,49.609934,67.298954
+x_10,1,10.0000,+x,1397.974454,1000,False,True,22.629663,-4.029777,2.954011,21.823708
+x_10,2,10.0000,+x,2356.515100,1000,False,True,70.463152,4.001595,50.019637,69.662833
+x_10,3,10.0000,+x,2322.700591,1000,False,True,68.811675,-0.004867,47.341303,68.810701
+x_10,4,10.0000,+x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-x_10,0,10.0000,-x,1216.069090,1000,False,True,13.566509,-2.403586,-2.569471,13.085792
-x_10,1,10.0000,-x,1297.108882,1000,False,True,17.575312,-5.414606,-0.444153,16.492391
-x_10,2,10.0000,-x,2215.090471,1000,False,True,63.415662,-2.891635,44.825285,62.837335
-x_10,3,10.0000,-x,781.230877,358,True,False,22.127650,-5.393135,2.366532,21.049023
-x_10,4,10.0000,-x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+y_10,0,10.0000,+y,2235.927953,1000,False,True,64.489356,8.765845,47.451606,62.736187
+y_10,1,10.0000,+y,1264.233199,578,True,False,35.862043,2.617364,16.985830,35.338570
+y_10,2,10.0000,+y,1922.243702,831,True,False,56.753946,2.264206,37.323743,56.301105
+y_10,3,10.0000,+y,1357.778334,1000,False,True,20.595136,-2.571546,-0.062556,20.080827
+y_10,4,10.0000,+y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-y_10,0,10.0000,-y,2219.208288,1000,False,True,63.685271,-5.193036,46.687250,62.646664
-y_10,1,10.0000,-y,2272.032977,1000,False,True,66.254147,2.642713,47.467338,65.725604
-y_10,2,10.0000,-y,2284.440234,1000,False,True,66.893715,1.988370,47.451942,66.496041
-y_10,3,10.0000,-y,2308.569073,1000,False,True,68.110805,-2.916869,47.431842,67.527432
-y_10,4,10.0000,-y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+x_25,0,25.0000,+x,703.727687,313,True,False,20.407639,-1.904099,1.184907,20.026819
+x_25,1,25.0000,+x,743.215638,313,True,False,22.351627,-3.626139,1.384567,21.626399
+x_25,2,25.0000,+x,762.164044,313,True,False,23.293071,-2.006714,1.330700,22.891729
+x_25,3,25.0000,+x,1749.653349,1000,False,True,40.240660,4.371364,16.915211,39.366388
+x_25,4,25.0000,+x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-x_25,0,25.0000,-x,574.481007,312,True,False,13.988963,-1.800602,-0.795220,13.628843
-x_25,1,25.0000,-x,1162.463110,1000,False,True,10.856029,-3.501793,-5.616793,10.155670
-x_25,2,25.0000,-x,1191.153413,1000,False,True,12.254264,-2.709013,-5.021399,11.712461
-x_25,3,25.0000,-x,603.819765,320,True,False,15.057649,-5.715436,-2.812185,13.914562
-x_25,4,25.0000,-x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+y_25,0,25.0000,+y,644.776582,324,True,False,16.941430,5.674595,-0.031020,15.806511
+y_25,1,25.0000,+y,690.550285,322,True,False,19.294246,4.175672,0.338155,18.459112
+y_25,2,25.0000,+y,692.595335,323,True,False,19.341497,5.256493,-0.139181,18.290198
+y_25,3,25.0000,+y,713.226877,323,True,False,20.380681,1.502788,-0.186300,20.080124
+y_25,4,25.0000,+y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-y_25,0,25.0000,-y,627.663384,309,True,False,16.799891,-3.799674,16.799891,16.039956
-y_25,1,25.0000,-y,664.737749,309,True,False,18.619781,-5.589228,18.619781,17.501935
-y_25,2,25.0000,-y,677.857918,308,True,False,19.318497,-3.415023,19.318497,18.635493
-y_25,3,25.0000,-y,702.704847,308,True,False,20.570408,-7.483502,20.570408,19.073707
-y_25,4,25.0000,-y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+x_50,0,50.0000,+x,983.927882,321,True,False,34.040992,-1.507260,11.753912,33.739540
+x_50,1,50.0000,+x,935.635272,317,True,False,31.787307,-3.790540,7.638008,31.029199
+x_50,2,50.0000,+x,747.553663,308,True,False,22.804900,-2.331694,22.804900,22.338561
+x_50,3,50.0000,+x,753.579920,307,True,False,23.158912,-5.713300,23.158912,22.016252
+x_50,4,50.0000,+x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-x_50,0,50.0000,-x,528.420096,310,True,False,11.780383,-2.301461,11.780383,11.320091
-x_50,1,50.0000,-x,542.437509,311,True,False,12.396398,-3.823202,-0.977982,11.631758
-x_50,2,50.0000,-x,533.727793,312,True,False,11.910799,-2.110198,-2.070331,11.488760
-x_50,3,50.0000,-x,664.837476,305,True,False,18.808447,-5.667881,18.808447,17.674871
-x_50,4,50.0000,-x,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
+y_50,0,50.0000,+y,644.629526,321,True,False,17.079151,14.276445,0.250487,14.223862
+y_50,1,50.0000,+y,697.070604,320,True,False,19.718038,11.097861,0.654158,17.498466
+y_50,2,50.0000,+y,687.041684,322,True,False,19.115787,15.136067,-0.207550,16.088574
+y_50,3,50.0000,+y,710.766920,320,True,False,20.407101,10.764976,-0.167249,18.254106
+y_50,4,50.0000,+y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
-y_50,0,50.0000,-y,623.291658,307,True,False,16.675620,-4.711113,16.675620,15.733398
-y_50,1,50.0000,-y,663.704959,307,True,False,18.662907,-6.439920,18.662907,17.374923
-y_50,2,50.0000,-y,678.160323,307,True,False,19.381563,-4.719781,19.381563,18.437607
-y_50,3,50.0000,-y,704.074786,307,True,False,20.685376,-8.761475,20.685376,18.933081
-y_50,4,50.0000,-y,131.026385,70,True,False,3.241275,-1.804531,3.241275,2.880369
