condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
no_push,1,0.0000,none,2322.940712,1000,False,True,68.912877,-3.854888,48.589988,68.141899
no_push,2,0.0000,none,2235.919348,1000,False,True,64.647443,-9.055221,47.150538,62.836398
no_push,3,0.0000,none,2249.971482,1000,False,True,65.287045,-5.864950,46.486932,64.114055
no_push,4,0.0000,none,2236.791181,1000,False,True,64.667890,-3.771416,47.930947,63.913607
+x_5,0,5.0000,+x,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
+x_5,1,5.0000,+x,2351.477531,1000,False,True,70.334573,-6.937671,49.526882,68.947039
+x_5,2,5.0000,+x,2201.881360,1000,False,True,62.933838,-6.041861,45.051173,61.725466
+x_5,3,5.0000,+x,2283.842170,1000,False,True,66.990626,-1.609816,47.743372,66.668663
+x_5,4,5.0000,+x,684.621617,330,True,False,18.691494,-2.516268,1.582285,18.188241
-x_5,0,5.0000,-x,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
-x_5,1,5.0000,-x,1277.148468,560,True,False,37.405479,-5.934482,17.509316,36.218583
-x_5,2,5.0000,-x,2225.951207,1000,False,True,64.133144,-6.817999,47.013160,62.769544
-x_5,3,5.0000,-x,722.665063,338,True,False,20.175595,-4.040743,1.713343,19.367447
-x_5,4,5.0000,-x,2205.175826,1000,False,True,63.045417,-3.086831,46.791110,62.428051
+y_5,0,5.0000,+y,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
+y_5,1,5.0000,+y,2274.762155,1000,False,True,66.540127,-3.149867,46.263237,65.910153
+y_5,2,5.0000,+y,1281.506787,590,True,False,36.258912,-4.723360,18.727840,35.314240
+y_5,3,5.0000,+y,2287.229435,1000,False,True,67.122296,-3.905445,48.289852,66.341207
+y_5,4,5.0000,+y,2237.834393,1000,False,True,64.708386,-3.699942,47.987116,63.968398
-y_5,0,5.0000,-y,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
-y_5,1,5.0000,-y,2352.877461,1000,False,True,70.425448,-5.890065,50.082454,69.247435
-y_5,2,5.0000,-y,2278.240185,1000,False,True,66.703042,-11.180815,49.217126,64.466879
-y_5,3,5.0000,-y,2320.280080,1000,False,True,68.792102,-5.599110,49.922481,67.672280
-y_5,4,5.0000,-y,2234.585072,1000,False,True,64.566341,-4.167921,47.896982,63.732757
+x_10,0,10.0000,+x,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
+x_10,1,10.0000,+x,2316.799657,1000,False,True,68.621207,-6.642841,47.445624,67.292639
+x_10,2,10.0000,+x,2241.991520,1000,False,True,64.932862,-7.813961,46.643541,63.370070
+x_10,3,10.0000,+x,2302.483148,1000,False,True,67.918773,-4.970109,48.261571,66.924752
+x_10,4,10.0000,+x,1221.582605,558,True,False,34.781779,-3.882412,17.153034,34.005297
-x_10,0,10.0000,-x,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
-x_10,1,10.0000,-x,1297.323200,1000,False,True,17.640170,-3.716637,-1.793873,16.896843
-x_10,2,10.0000,-x,1255.345833,1000,False,True,15.561271,-7.385304,-1.074938,14.084210
-x_10,3,10.0000,-x,1271.256307,1000,False,True,16.380252,-3.329269,-1.631498,15.714398
-x_10,4,10.0000,-x,1225.966227,1000,False,True,14.113180,-3.766815,-1.757637,13.359817
+y_10,0,10.0000,+y,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
+y_10,1,10.0000,+y,1353.505860,1000,False,True,20.491060,-1.015700,0.268037,20.287920
+y_10,2,10.0000,+y,663.555508,320,True,False,18.090990,-4.460889,0.565061,17.198813
+y_10,3,10.0000,+y,1334.330080,1000,False,True,19.502980,-0.571902,0.681110,19.388600
+y_10,4,10.0000,+y,1285.304357,1000,False,True,17.063444,-0.266651,0.353736,17.010113
-y_10,0,10.0000,-y,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
-y_10,1,10.0000,-y,708.085872,315,True,False,20.526566,-4.780259,0.305596,19.570514
-y_10,2,10.0000,-y,2164.764404,1000,False,True,61.098454,-4.757597,43.596113,60.146935
-y_10,3,10.0000,-y,868.960465,399,True,False,24.611045,-6.835201,5.791044,23.244005
-y_10,4,10.0000,-y,638.498487,316,True,False,17.041642,-3.982403,0.351383,16.245161
+x_25,0,25.0000,+x,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
+x_25,1,25.0000,+x,766.102591,312,True,False,23.567597,-3.639332,0.943812,22.839730
+x_25,2,25.0000,+x,700.706701,312,True,False,20.326718,-6.149297,0.684090,19.096859
+x_25,3,25.0000,+x,852.821928,324,True,False,27.340650,-4.775021,6.104423,26.385645
+x_25,4,25.0000,+x,687.517888,312,True,False,19.679572,-2.805761,0.773603,19.118420
-x_25,0,25.0000,-x,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
-x_25,1,25.0000,-x,582.335009,327,True,False,13.673846,-2.890802,-4.383832,13.095686
-x_25,2,25.0000,-x,523.715511,325,True,False,10.865459,-5.906693,-4.503449,9.684121
-x_25,3,25.0000,-x,1174.008743,1000,False,True,11.478645,-3.377944,-5.062471,10.803056
-x_25,4,25.0000,-x,517.890575,323,True,False,10.677781,-2.404261,-3.798632,10.196929
+y_25,0,25.0000,+y,591.443586,261,True,False,17.243870,-4.742565,17.243870,16.295357
+y_25,1,25.0000,+y,713.934860,321,True,False,20.536779,3.789859,0.204416,19.778807
+y_25,2,25.0000,+y,657.328901,324,True,False,17.593458,1.279540,0.145972,17.337550
+y_25,3,25.0000,+y,692.638262,327,True,False,19.203078,4.567841,0.438332,18.289510
