condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1927.413262,852.20,0.8000,0.8000,56.151825,5.457808,41.480455,55.060263
+x_5,5,1622.653253,718.20,0.6000,0.6000,47.238880,4.369636,32.229516,46.364953
-x_5,5,1404.476830,631.80,0.4000,0.4000,40.400701,4.924524,26.054159,39.415796
+y_5,5,1734.555271,770.20,0.6000,0.6000,50.374718,4.044236,35.702383,49.565871
-y_5,5,1955.485277,852.20,0.8000,0.8000,57.546161,6.316095,42.872583,56.282942
+x_10,5,1734.860103,763.80,0.6000,0.6000,50.699698,5.610377,35.349528,49.577623
-x_10,5,1128.267031,852.20,0.8000,0.0000,16.187749,4.588118,2.197185,15.270125
+y_10,5,1045.627878,716.20,0.6000,0.6000,18.478469,2.211541,3.822363,18.036161
-y_10,5,994.350563,458.20,0.2000,0.2000,28.104315,5.019605,13.457601,27.100394
+x_25,5,719.718539,304.20,0.0000,0.0000,21.631681,4.422395,5.149959,20.747202
-x_25,5,677.878685,447.20,0.2000,0.0000,12.787920,3.864453,-0.100903,12.015030
+y_25,5,659.365320,310.80,0.0000,0.0000,18.305727,3.760632,3.659435,17.553600
-y_25,5,648.025921,302.80,0.0000,0.0000,18.115158,7.220714,3.559590,16.671015
+x_50,5,716.154707,299.60,0.0000,0.0000,21.675108,4.254968,21.675108,20.824114
-x_50,5,550.239104,300.80,0.0000,0.0000,13.313827,4.239402,8.398982,12.465946
+y_50,5,659.438951,307.20,0.0000,0.0000,18.475538,8.852129,7.463119,16.705112
-y_50,5,638.654392,298.00,0.0000,0.0000,17.875625,6.608771,17.875625,16.553871
