condition,episodes,mean_return,mean_length,success_rate,recovery_rate,mean_x_displacement,mean_abs_y_displacement,mean_post_push_x_displacement,mean_forward_score
no_push,5,1515.502826,657.20,0.4000,0.4000,44.709160,2.640054,29.407051,44.181149
+x_5,5,1343.416941,602.00,0.2000,0.2000,38.715604,3.496063,23.107208,38.016391
-x_5,5,1517.453842,674.00,0.6000,0.6000,44.007539,1.861157,29.102585,43.635308
+y_5,5,1643.548803,740.00,0.4000,0.4000,47.207615,2.200330,31.959150,46.767549
-y_5,5,1684.603105,755.60,0.6000,0.6000,48.512085,2.428682,33.237142,48.026349
+x_10,5,1172.342816,586.80,0.4000,0.4000,30.897051,1.933868,14.925948,30.510277
-x_10,5,804.547836,543.80,0.4000,0.0000,14.555126,2.281016,3.676874,14.098923
+y_10,5,955.591197,675.60,0.6000,0.4000,15.898539,1.286837,0.636371,15.641172
-y_10,5,1503.230234,674.20,0.6000,0.6000,43.297027,4.391156,28.092041,42.418795
+x_25,5,635.248238,263.80,0.0000,0.0000,19.300498,2.463951,2.224504,18.807708
-x_25,5,591.422032,405.40,0.2000,0.0000,10.426236,2.399061,-2.935104,9.946424
+y_25,5,706.267934,404.60,0.2000,0.2000,16.208430,3.791773,1.011323,15.450076
-y_25,5,555.868937,259.60,0.0000,0.0000,15.534429,4.315088,11.545683,14.671411
+x_50,5,645.522066,259.80,0.0000,0.0000,20.006389,2.446541,14.988916,19.517081
-x_50,5,419.225854,262.60,0.0000,0.0000,8.555963,2.160775,3.209416,8.123808
+y_50,5,558.902724,263.60,0.0000,0.0000,15.495012,6.155715,3.990465,14.263869
-y_50,5,550.654440,257.20,0.0000,0.0000,15.386513,4.568798,15.386513,14.472754
