condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,2275.058402,1000,False,True,66.495166,2.255644,46.874600,66.044037
no_push,1,0.0000,none,2271.441484,1000,False,True,66.299520,5.306064,46.004733,65.238307
no_push,2,0.0000,none,2217.051060,1000,False,True,63.616914,1.812808,44.453248,63.254352
no_push,3,0.0000,none,1543.065563,691,True,False,44.492563,-4.164836,27.021385,43.659596
no_push,4,0.0000,none,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
+x_5,0,5.0000,+x,947.937921,411,True,False,27.965862,0.968951,7.861157,27.772072
+x_5,1,5.0000,+x,1522.215895,659,True,False,44.959825,2.247338,24.241213,44.510358
+x_5,2,5.0000,+x,2354.449801,1000,False,True,70.460419,-2.422017,50.783694,69.976015
+x_5,3,5.0000,+x,2243.857437,1000,False,True,64.938069,0.116746,46.982015,64.914720
+x_5,4,5.0000,+x,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
-x_5,0,5.0000,-x,2237.380465,1000,False,True,64.585651,5.144362,45.508659,63.556778
-x_5,1,5.0000,-x,2285.806741,978,True,False,68.037899,5.590903,48.087697,66.919719
-x_5,2,5.0000,-x,722.761299,341,True,False,20.031430,-3.922235,1.293775,19.246983
-x_5,3,5.0000,-x,1849.217544,830,True,False,53.212548,-1.000925,36.103269,53.012363
-x_5,4,5.0000,-x,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
+y_5,0,5.0000,+y,957.894859,430,True,False,27.569915,3.815801,7.983307,26.806754
+y_5,1,5.0000,+y,2329.017042,1000,False,True,69.193838,1.887229,48.873840,68.816392
+y_5,2,5.0000,+y,2298.463665,1000,False,True,67.661945,1.899357,48.537469,67.282074
+y_5,3,5.0000,+y,2179.738918,1000,False,True,61.741135,0.564423,44.224358,61.628250
+y_5,4,5.0000,+y,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
-y_5,0,5.0000,-y,2254.723010,1000,False,True,65.469246,12.160523,45.933521,63.037142
-y_5,1,5.0000,-y,1425.277453,610,True,False,42.403114,0.408805,22.125721,42.321353
-y_5,2,5.0000,-y,2255.254988,1000,False,True,65.529509,-6.869708,46.309058,64.155567
-y_5,3,5.0000,-y,1330.122362,610,True,False,37.656179,-8.654713,20.132091,35.925236
-y_5,4,5.0000,-y,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
+x_10,0,10.0000,+x,1398.161123,1000,False,True,22.679118,0.424489,2.189610,22.594220
+x_10,1,10.0000,+x,930.313917,396,True,False,27.777591,-0.434639,6.591420,27.690664
+x_10,2,10.0000,+x,2324.280784,1000,False,True,68.952421,2.754873,48.838173,68.401447
+x_10,3,10.0000,+x,1406.957085,617,True,False,41.209604,-1.828118,22.712133,40.843980
+x_10,4,10.0000,+x,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
-x_10,0,10.0000,-x,663.751255,312,True,False,18.439004,0.117358,-0.212660,18.415532
-x_10,1,10.0000,-x,1289.276712,1000,False,True,17.236803,0.404268,-2.190542,17.155949
-x_10,2,10.0000,-x,1279.506538,1000,False,True,16.771113,-4.073306,-1.574405,15.956452
-x_10,3,10.0000,-x,1258.468463,1000,False,True,15.672836,-4.333382,-1.103035,14.806160
-x_10,4,10.0000,-x,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
+y_10,0,10.0000,+y,1324.688895,1000,False,True,18.993425,3.180739,-0.576804,18.357277
+y_10,1,10.0000,+y,2057.956560,871,True,False,61.698874,6.571961,41.376697,60.384481
+y_10,2,10.0000,+y,691.541240,319,True,False,19.519781,-1.855454,0.312989,19.148691
+y_10,3,10.0000,+y,2242.616031,1000,False,True,64.849815,0.999981,47.244193,64.649819
+y_10,4,10.0000,+y,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
-y_10,0,10.0000,-y,1325.510627,1000,False,True,19.046405,-1.400399,-0.555270,18.766326
-y_10,1,10.0000,-y,2254.259977,1000,False,True,65.431479,6.017962,45.162026,64.227887
-y_10,2,10.0000,-y,1429.315841,630,True,False,41.679236,-1.753352,22.513053,41.328566
-y_10,3,10.0000,-y,2318.494413,1000,False,True,68.644407,-2.729186,50.986709,68.098570
-y_10,4,10.0000,-y,136.966835,79,True,False,3.124152,-3.269964,3.124152,2.470159
+x_25,0,25.0000,+x,744.430571,311,True,False,22.524099,0.046762,0.541419,22.514747
