condition,seed,push_force,push_direction,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,post_push_x_displacement,forward_score
no_push,0,0.0000,none,2197.867445,1000,False,True,62.533438,4.613445,44.810287,61.610749
no_push,1,0.0000,none,2253.744483,1000,False,True,65.319007,-3.127429,46.171699,64.693521
no_push,2,0.0000,none,2202.677645,1000,False,True,62.801793,0.685053,46.310588,62.664783
no_push,3,0.0000,none,1121.038503,498,True,False,32.471759,-3.721385,13.780896,31.727482
no_push,4,0.0000,none,2266.832270,1000,False,True,65.983614,-2.125027,45.578812,65.558608
+x_100,0,100.0000,+x,754.920519,307,True,False,23.222092,-1.478740,23.222092,22.926344
+x_100,1,100.0000,+x,785.037819,307,True,False,24.708137,-1.590586,24.708137,24.390019
+x_100,2,100.0000,+x,912.128958,311,True,False,30.898423,-2.318184,2.500184,30.434786
+x_100,3,100.0000,+x,740.936077,306,True,False,22.568838,-2.817334,22.568838,22.005371
+x_100,4,100.0000,+x,812.966076,307,True,False,26.107790,-1.522827,26.107790,25.803225
-x_100,0,100.0000,-x,352.138238,311,True,False,2.880817,-0.854966,-2.443481,2.709824
-x_100,1,100.0000,-x,525.011869,308,True,False,11.653117,-1.767720,11.653117,11.299573
-x_100,2,100.0000,-x,555.749706,305,True,False,13.355160,-1.546704,13.355160,13.045819
-x_100,3,100.0000,-x,554.734618,307,True,False,13.205240,-2.576014,13.205240,12.690037
-x_100,4,100.0000,-x,610.902664,306,True,False,16.044435,-1.087852,16.044435,15.826865
+y_100,0,100.0000,+y,641.667414,306,True,False,17.601034,2.847563,17.601034,17.031522
+y_100,1,100.0000,+y,664.032253,306,True,False,18.701922,2.484883,18.701922,18.204945
+y_100,2,100.0000,+y,611.604211,306,True,False,16.104926,2.052457,16.104926,15.694435
+y_100,3,100.0000,+y,654.541580,307,True,False,18.198867,2.706106,18.198867,17.657646
+y_100,4,100.0000,+y,695.292992,305,True,False,20.312690,1.392569,20.312690,20.034176
-y_100,0,100.0000,-y,648.185362,306,True,False,17.928919,-5.291822,17.928919,16.870555
-y_100,1,100.0000,-y,665.662026,306,True,False,18.786599,-5.800687,18.786599,17.626462
-y_100,2,100.0000,-y,613.472982,305,True,False,16.245834,-4.496281,16.245834,15.346578
-y_100,3,100.0000,-y,659.948359,307,True,False,18.475303,-8.384641,18.475303,16.798375
-y_100,4,100.0000,-y,701.213541,306,True,False,20.564330,-5.308540,20.564330,19.502622
+x_200,0,200.0000,+x,823.370506,306,True,False,26.688635,-1.545959,26.688635,26.379443
+x_200,1,200.0000,+x,742.219461,304,True,False,22.704109,-1.625561,22.704109,22.378997
+x_200,2,200.0000,+x,685.067743,304,True,False,19.870879,-1.999939,19.870879,19.470891
+x_200,3,200.0000,+x,777.325516,305,True,False,24.433000,-2.911358,24.433000,23.850728
+x_200,4,200.0000,+x,813.069047,305,True,False,26.202176,-1.388819,26.202176,25.924412
-x_200,0,200.0000,-x,560.891572,304,True,False,13.652100,-1.051982,13.652100,13.441703
-x_200,1,200.0000,-x,553.412021,305,True,False,13.215600,-1.584179,13.215600,12.898764
-x_200,2,200.0000,-x,530.955528,304,True,False,12.163658,-1.590813,12.163658,11.845496
-x_200,3,200.0000,-x,547.368817,305,True,False,12.931005,-2.526793,12.931005,12.425646
-x_200,4,200.0000,-x,612.160844,304,True,False,16.200202,-1.179487,16.200202,15.964304
+y_200,0,200.0000,+y,634.455346,303,True,False,17.378872,0.886979,17.378872,17.201476
+y_200,1,200.0000,+y,659.747319,304,True,False,18.578737,2.131362,18.578737,18.152464
+y_200,2,200.0000,+y,608.698807,304,True,False,16.050623,1.815912,16.050623,15.687441
+y_200,3,200.0000,+y,651.889810,304,True,False,18.204637,0.901855,18.204637,18.024266
+y_200,4,200.0000,+y,690.042043,303,True,False,20.142043,0.694640,20.142043,20.003115
-y_200,0,200.0000,-y,645.829622,305,True,False,17.855832,-7.255984,17.855832,16.404635
-y_200,1,200.0000,-y,665.859832,306,True,False,18.795929,-10.727757,18.795929,16.650378
-y_200,2,200.0000,-y,616.877598,306,True,False,16.371421,-10.754130,16.371421,14.220595
-y_200,3,200.0000,-y,656.204019,304,True,False,18.422113,-6.319547,18.422113,17.158204
-y_200,4,200.0000,-y,726.256519,314,True,False,21.441690,-47.594126,0.557156,11.922865
+x_300,0,300.0000,+x,757.773322,304,True,False,23.497104,-1.470966,23.497104,23.202911
+x_300,1,300.0000,+x,726.155842,303,True,False,21.946844,-1.452518,21.946844,21.656340
+x_300,2,300.0000,+x,669.292680,303,True,False,19.128538,-2.005257,19.128538,18.727487
+x_300,3,300.0000,+x,769.124692,304,True,False,24.068174,-2.824935,24.068174,23.503187
+x_300,4,300.0000,+x,810.253649,304,True,False,26.106579,-1.376394,26.106579,25.831300
-x_300,0,300.0000,-x,569.561815,303,True,False,14.132352,-1.096672,14.132352,13.913018
-x_300,1,300.0000,-x,548.030125,304,True,False,12.991548,-1.461371,12.991548,12.699274
-x_300,2,300.0000,-x,540.098345,303,True,False,12.667623,-1.613090,12.667623,12.345004
-x_300,3,300.0000,-x,592.716360,303,True,False,15.292999,-2.570599,15.292999,14.778879
-x_300,4,300.0000,-x,621.790858,303,True,False,16.728639,-1.244561,16.728639,16.479727
+y_300,0,300.0000,+y,633.320415,303,True,False,17.320911,2.009211,17.320911,16.919069
+y_300,1,300.0000,+y,658.657353,303,True,False,18.571287,1.625744,18.571287,18.246138
+y_300,2,300.0000,+y,606.858753,303,True,False,16.005855,1.248279,16.005855,15.756200
+y_300,3,300.0000,+y,652.053223,303,True,False,18.259899,0.297263,18.259899,18.200447
+y_300,4,300.0000,+y,687.679445,302,True,False,20.071396,0.001405,20.071396,20.071115
-y_300,0,300.0000,-y,648.063750,305,True,False,17.967101,-10.744961,17.967101,15.818109
-y_300,1,300.0000,-y,665.201709,306,True,False,18.763028,-15.707506,18.763028,15.621526
-y_300,2,300.0000,-y,614.688196,305,True,False,16.306151,-11.266308,16.306151,14.052890
-y_300,3,300.0000,-y,657.275117,304,True,False,18.475371,-8.247849,18.475371,16.825801
-y_300,4,300.0000,-y,721.138325,310,True,False,21.376619,-40.839690,21.376619,13.208681
