rank,forward_weight,lateral_weight,energy_weight,mean_return,mean_length,success_rate,mean_x_displacement,mean_abs_y_displacement,mean_forward_score,rank_score
1,0.8000,1.0000,0.0100,455.185769,300.00,1.0000,8.556077,2.564476,8.043182,10.043182
2,1.2000,0.5000,0.0100,455.969921,300.00,1.0000,8.656013,3.425702,7.970873,9.970873
3,1.2000,1.0000,0.0050,446.472805,300.00,1.0000,8.191031,1.411385,7.908754,9.908754
4,0.8000,0.8000,0.0100,390.884757,300.00,1.0000,5.414090,3.021927,4.809705,6.809705
5,0.8000,0.5000,0.0050,381.542836,300.00,1.0000,4.999528,1.463348,4.706859,6.706859
6,0.8000,1.2000,0.0050,411.819467,300.00,1.0000,6.316342,8.139497,4.688443,6.688443
7,0.8000,0.8000,0.0050,374.594203,300.00,1.0000,4.447674,3.564693,3.734735,5.734735
8,0.8000,1.0000,0.0050,382.842608,300.00,1.0000,4.853864,5.945016,3.664860,5.664860
9,1.0000,0.5000,0.0050,361.574653,300.00,1.0000,3.745584,2.612279,3.223129,5.223129
10,1.0000,0.8000,0.0100,355.334951,300.00,1.0000,3.527470,1.844438,3.158582,5.158582
11,1.0000,0.8000,0.0050,345.358079,300.00,1.0000,3.236651,3.038509,2.628949,4.628949
12,1.2000,0.8000,0.0100,353.553418,300.00,1.0000,3.560817,6.912807,2.178255,4.178255
13,1.0000,1.2000,0.0100,310.354197,300.00,1.0000,1.325308,4.963218,0.332665,2.332665
14,1.2000,0.8000,0.0050,177.387744,161.33,0.3333,1.225158,0.275697,1.170018,2.143352
15,1.2000,1.2000,0.0100,286.792332,300.00,1.0000,0.329976,1.560751,0.017825,2.017825
16,1.0000,0.5000,0.0100,283.566390,300.00,1.0000,0.051153,0.296799,-0.008206,1.991794
17,1.2000,1.0000,0.0100,280.265930,300.00,1.0000,-0.274622,1.109543,-0.496530,1.503470
18,0.8000,1.2000,0.0100,284.154675,300.00,1.0000,0.094844,5.501993,-1.005555,0.994445
19,1.0000,1.0000,0.0050,266.522699,300.00,1.0000,-0.771621,4.709508,-1.713523,0.286477
20,0.8000,0.5000,0.0100,256.541526,300.00,1.0000,-1.246637,4.723721,-2.191381,-0.191381
21,1.0000,1.2000,0.0050,258.052951,300.00,1.0000,-1.143732,7.810730,-2.705878,-0.705878
22,1.2000,0.5000,0.0050,175.461515,300.00,1.0000,-5.512735,5.591573,-6.631049,-4.631049
23,1.2000,1.2000,0.0050,122.402603,300.00,1.0000,-8.037772,3.065376,-8.650848,-6.650848
24,1.0000,1.0000,0.0100,74.070318,300.00,1.0000,-10.419692,3.521742,-11.124040,-9.124040
